venue,count
Wankhede Stadium,42
Arun Jaitley Stadium,29
Eden Gardens,24
Rajiv Gandhi Intl. Stadium,22
MA Chidambaram Stadium,16
PCA IS Bindra Stadium,15
M. Chinnaswamy Stadium,15
M Chinnaswamy Stadium,15
Brabourne Stadium,13
Sawai Mansingh Stadium,11
Narendra Modi Stadium,11
"MCA Stadium, Pune",10
Dubai Intl. Cricket Stadium,7
Sheikh Zayed Stadium,6
Sharjah Cricket Stadium,6
Dr DY Patil Sports Academy,5
BRSABV Ekana Stadium,4
HPCA Stadium,4
Holkar Cricket Stadium,3
Saurashtra Cricket Assn. Stadium,3
ACA-VDCA Stadium,2
Barabati Stadium,2
SuperSport Park,2
Maharaja Yadvindra Cricket Stadium,2
JSCA Intl. Stadium Complex,1
Green Park,1
Subrata Roy Sahara Stadium,1
Barsapara Stadium,1
Kingsmead,1
