venue,count
Wankhede Stadium,25
Eden Gardens,24
Arun Jaitley Stadium,23
Rajiv Gandhi Intl. Stadium,23
MA Chidambaram Stadium,22
M Chinnaswamy Stadium,17
Sawai Mansingh Stadium,13
PCA IS Bindra Stadium,12
Sharjah Cricket Stadium,11
Dubai Intl. Cricket Stadium,11
Sheikh Zayed Stadium,11
Dr DY Patil Sports Academy,8
"MCA Stadium, Pune",7
ACA-VDCA Stadium,7
Narendra Modi Stadium,7
Kingsmead,7
Subrata Roy Sahara Stadium,6
JSCA Intl. Stadium Complex,4
BRSABV Ekana Stadium,4
Newlands,4
New Wanderers Stadium,4
SuperSport Park,3
SVNS Intl. Stadium,3
St George's Park,3
Nehru Stadium,3
De Beers Diamond Oval,2
Holkar Cricket Stadium,2
Buffalo Park,2
Barabati Stadium,2
Brabourne Stadium,2
HPCA Stadium,1
OUTsurance Oval,1
Saurashtra Cricket Assn. Stadium,1
Green Park,1
M. Chinnaswamy Stadium,1
VCA Stadium,1
