match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,match_number,result_type,result_margin
2008_01,2008,2008-04-18,RCB,KKR,M Chinnaswamy Stadium,Bangalore,RCB,field,KKR,140,0,BB McCullum,1,runs,140
2008_03,2008,2008-04-19,KXIP,CSK,PCA IS Bindra Stadium,Chandigarh,CSK,bat,CSK,33,0,MEK Hussey,3,runs,33
2008_08,2008,2008-04-23,CSK,MI,MA Chidambaram Stadium,Chennai,MI,field,CSK,6,0,ML Hayden,8,runs,6
2008_10,2008,2008-04-25,KXIP,MI,PCA IS Bindra Stadium,Chandigarh,MI,field,KXIP,66,0,KC Sangakkara,10,runs,66
2008_15,2008,2008-04-28,RCB,CSK,M Chinnaswamy Stadium,Bangalore,CSK,bat,CSK,13,0,MS Dhoni,15,runs,13
2008_17,2008,2008-04-30,DD,RCB,Arun Jaitley Stadium,Delhi,RCB,field,DD,10,0,GD McGrath,17,runs,10
2008_19,2008,2008-05-01,RR,KKR,Sawai Mansingh Stadium,Jaipur,RR,bat,RR,45,0,SA Asnodkar,19,runs,45
2008_21,2008,2008-05-03,RCB,SRH,M Chinnaswamy Stadium,Bangalore,SRH,field,RCB,3,0,P Kumar,21,runs,3
2008_22,2008,2008-05-03,KXIP,KKR,PCA IS Bindra Stadium,Chandigarh,KXIP,bat,KXIP,9,0,IK Pathan,22,runs,9
2008_23,2008,2008-05-04,MI,DD,Dr DY Patil Sports Academy,Mumbai,DD,field,MI,29,0,SM Pollock,23,runs,29
2008_28,2008,2008-05-08,KKR,RCB,Eden Gardens,Kolkata,KKR,bat,KKR,5,0,SC Ganguly,28,runs,5
2008_31,2008,2008-05-10,CSK,KXIP,MA Chidambaram Stadium,Chennai,KXIP,field,CSK,18,0,L Balaji,31,runs,18
2008_32,2008,2008-05-11,SRH,KKR,Rajiv Gandhi Intl. Stadium,Hyderabad,KKR,bat,KKR,23,0,SC Ganguly,32,runs,23
2008_35,2008,2008-05-13,KKR,DD,Eden Gardens,Kolkata,KKR,bat,KKR,23,0,Shoaib Akhtar,35,runs,23
2008_37,2008,2008-05-15,DD,SRH,Arun Jaitley Stadium,Delhi,SRH,field,DD,12,0,A Mishra,37,runs,12
2008_39,2008,2008-05-17,DD,KXIP,Arun Jaitley Stadium,Delhi,DD,bat,KXIP,6,0,DPMD Jayawardene,39,runs,6
