match_id,first_innings,second_innings,inning_3,inning_4,inning_5,inning_6,season,venue,toss_decision,winner
2008_01,222.0,82.0,,,,,2008,M Chinnaswamy Stadium,field,KKR
2008_02,129.0,132.0,,,,,2008,Arun Jaitley Stadium,bat,DD
2008_03,240.0,207.0,,,,,2008,PCA IS Bindra Stadium,bat,CSK
2008_04,165.0,166.0,,,,,2008,Wankhede Stadium,bat,RCB
2008_05,110.0,112.0,,,,,2008,Eden Gardens,bat,KKR
2008_06,166.0,168.0,,,,,2008,Sawai Mansingh Stadium,bat,RR
2008_07,142.0,143.0,,,,,2008,Rajiv Gandhi Intl. Stadium,bat,DD
2008_08,208.0,202.0,,,,,2008,MA Chidambaram Stadium,field,CSK
2008_09,214.0,217.0,,,,,2008,Rajiv Gandhi Intl. Stadium,field,RR
2008_10,182.0,116.0,,,,,2008,PCA IS Bindra Stadium,field,KXIP
2008_11,147.0,152.0,,,,,2008,MA Chidambaram Stadium,bat,CSK
2008_12,135.0,138.0,,,,,2008,M Chinnaswamy Stadium,field,RR
2008_13,154.0,155.0,,,,,2008,Dr DY Patil Sports Academy,field,SRH
2008_14,158.0,162.0,,,,,2008,PCA IS Bindra Stadium,bat,KXIP
2008_15,178.0,165.0,,,,,2008,M Chinnaswamy Stadium,bat,CSK
2008_16,137.0,138.0,,,,,2008,Eden Gardens,bat,MI
2008_17,191.0,181.0,,,,,2008,Arun Jaitley Stadium,field,DD
2008_18,164.0,167.0,,,,,2008,Rajiv Gandhi Intl. Stadium,field,KXIP
2008_19,196.0,151.0,,,,,2008,Sawai Mansingh Stadium,bat,RR
2008_20,169.0,172.0,,,,,2008,MA Chidambaram Stadium,bat,DD
2008_21,156.0,153.0,,,,,2008,M Chinnaswamy Stadium,field,RCB
2008_22,178.0,169.0,,,,,2008,PCA IS Bindra Stadium,bat,KXIP
2008_23,162.0,133.0,,,,,2008,Dr DY Patil Sports Academy,field,MI
2008_24,109.0,110.0,,,,,2008,Sawai Mansingh Stadium,bat,RR
2008_25,126.0,127.0,,,,,2008,M Chinnaswamy Stadium,field,KXIP
2008_26,144.0,148.0,,,,,2008,MA Chidambaram Stadium,field,SRH
2008_27,103.0,104.0,,,,,2008,Dr DY Patil Sports Academy,field,MI
2008_28,129.0,124.0,,,,,2008,Eden Gardens,bat,KKR
2008_29,187.0,188.0,,,,,2008,Arun Jaitley Stadium,field,CSK
2008_30,140.0,141.0,,,,,2008,Sawai Mansingh Stadium,field,RR
2008_31,181.0,163.0,,,,,2008,MA Chidambaram Stadium,field,CSK
2008_32,204.0,181.0,,,,,2008,Rajiv Gandhi Intl. Stadium,bat,KKR
2008_33,156.0,159.0,,,,,2008,Sawai Mansingh Stadium,field,RR
2008_34,143.0,144.0,,,,,2008,PCA IS Bindra Stadium,bat,KXIP
2008_35,133.0,110.0,,,,,2008,Eden Gardens,bat,KKR
2008_36,156.0,158.0,,,,,2008,Wankhede Stadium,field,MI
2008_37,194.0,182.0,,,,,2008,Arun Jaitley Stadium,field,DD
2008_38,67.0,68.0,,,,,2008,Wankhede Stadium,field,MI
2008_39,118.0,94.0,,,,,2008,Arun Jaitley Stadium,bat,KXIP
2008_40,197.0,132.0,,,,,2008,Sawai Mansingh Stadium,field,RR
2008_41,149.0,55.0,,,,,2008,Eden Gardens,bat,CSK
2008_42,178.0,153.0,,,,,2008,Rajiv Gandhi Intl. Stadium,field,MI
2008_43,154.0,158.0,,,,,2008,M Chinnaswamy Stadium,field,DD
2008_44,147.0,150.0,,,,,2008,Eden Gardens,field,RR
2008_45,189.0,188.0,,,,,2008,Wankhede Stadium,field,KXIP
2008_46,126.0,112.0,,,,,2008,MA Chidambaram Stadium,bat,RCB
2008_47,175.0,178.0,,,,,2008,PCA IS Bindra Stadium,field,KXIP
2008_48,176.0,179.0,,,,,2008,Arun Jaitley Stadium,field,DD
2008_49,211.0,201.0,,,,,2008,MA Chidambaram Stadium,bat,RR
2008_50,165.0,171.0,,,,,2008,Rajiv Gandhi Intl. Stadium,bat,RCB
2008_51,174.0,175.0,,,,,2008,Eden Gardens,bat,KKR
2008_52,145.0,146.0,,,,,2008,Sawai Mansingh Stadium,field,RR
2008_53,147.0,148.0,,,,,2008,Rajiv Gandhi Intl. Stadium,bat,CSK
2008_54,221.0,180.0,,,,,2008,PCA IS Bindra Stadium,field,KXIP
2008_55,122.0,126.0,,,,,2008,M Chinnaswamy Stadium,field,MI
2008_56,192.0,87.0,,,,,2008,Wankhede Stadium,field,RR
2008_57,112.0,116.0,,,,,2008,Wankhede Stadium,bat,CSK
2008_58,163.0,164.0,,,,,2008,Dr DY Patil Sports Academy,field,RR
2009_01,165.0,146.0,,,,,2009,Newlands,field,MI
2009_02,133.0,58.0,,,,,2009,Newlands,bat,RCB
2009_03,104.0,58.0,,,,,2009,Newlands,field,DD
2009_04,101.0,104.0,,,,,2009,Newlands,bat,SRH
2009_05,179.0,87.0,,,,,2009,St George's Park,bat,CSK
2009_06,158.0,79.0,,,,,2009,Kingsmead,field,KKR
2009_07,184.0,160.0,,,,,2009,Newlands,bat,SRH
2009_08,150.0,150.0,15.0,18.0,,,2009,Newlands,field,
2009_09,189.0,180.0,,,,,2009,Kingsmead,bat,DD
2009_10,168.0,173.0,,,,,2009,Kingsmead,bat,KXIP
2009_11,168.0,156.0,,,,,2009,Kingsmead,bat,SRH
2009_12,149.0,150.0,,,,,2009,St George's Park,bat,DD
2009_13,139.0,112.0,,,,,2009,Newlands,bat,KXIP
2009_14,187.0,95.0,,,,,2009,St George's Park,bat,MI
2009_15,165.0,169.0,,,,,2009,Kingsmead,field,SRH
2009_16,143.0,147.0,,,,,2009,SuperSport Park,bat,RR
2009_17,119.0,116.0,,,,,2009,Kingsmead,bat,KXIP
2009_18,139.0,143.0,,,,,2009,Kingsmead,bat,RCB
