venue,bat,field
ACA-VDCA Stadium,7,8
Arun Jaitley Stadium,36,54
BRSABV Ekana Stadium,6,8
Barabati Stadium,2,5
Barsapara Stadium,1,2
Brabourne Stadium,9,18
Buffalo Park,3,0
De Beers Diamond Oval,2,1
Dr DY Patil Sports Academy,10,27
Dubai Intl. Cricket Stadium,19,27
Eden Gardens,30,63
Green Park,0,4
HPCA Stadium,1,12
Holkar Cricket Stadium,1,8
JSCA Intl. Stadium Complex,3,4
Kingsmead,10,5
M Chinnaswamy Stadium,8,57
M. Chinnaswamy Stadium,1,28
MA Chidambaram Stadium,48,37
"MCA Stadium, Pune",4,31
Maharaja Yadvindra Cricket Stadium,1,4
Narendra Modi Stadium,11,25
Nehru Stadium,2,3
New Wanderers Stadium,2,6
Newlands,4,3
OUTsurance Oval,1,1
PCA IS Bindra Stadium,17,44
Rajiv Gandhi Intl. Stadium,35,42
SVNS Intl. Stadium,3,3
Saurashtra Cricket Assn. Stadium,3,7
Sawai Mansingh Stadium,25,32
Sharjah Cricket Stadium,8,20
Sheikh Zayed Stadium,18,19
St George's Park,7,0
Subrata Roy Sahara Stadium,15,1
SuperSport Park,6,6
VCA Stadium,2,1
Wankhede Stadium,30,88
