match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,match_number,result_type,result_margin
2008_02,2008,2008-04-19,DD,RR,Arun Jaitley Stadium,Delhi,RR,bat,DD,0,9,MF Maharoof,2,wickets,9
2008_04,2008,2008-04-20,MI,RCB,Wankhede Stadium,Mumbai,MI,bat,RCB,0,5,MV Boucher,4,wickets,5
2008_05,2008,2008-04-20,KKR,SRH,Eden Gardens,Kolkata,SRH,bat,KKR,0,5,DJ Hussey,5,wickets,5
2008_06,2008,2008-04-21,RR,KXIP,Sawai Mansingh Stadium,Jaipur,KXIP,bat,RR,0,6,SR Watson,6,wickets,6
2008_07,2008,2008-04-22,SRH,DD,Rajiv Gandhi Intl. Stadium,Hyderabad,SRH,bat,DD,0,9,V Sehwag,7,wickets,9
2008_09,2008,2008-04-24,SRH,RR,Rajiv Gandhi Intl. Stadium,Hyderabad,RR,field,RR,0,3,YK Pathan,9,wickets,3
2008_11,2008,2008-04-26,CSK,KKR,MA Chidambaram Stadium,Chennai,KKR,bat,CSK,0,9,JDP Oram,11,wickets,9
2008_12,2008,2008-04-26,RCB,RR,M Chinnaswamy Stadium,Bangalore,RR,field,RR,0,7,SR Watson,12,wickets,7
2008_14,2008,2008-04-27,KXIP,DD,PCA IS Bindra Stadium,Chandigarh,DD,bat,KXIP,0,4,SM Katich,14,wickets,4
2008_13,2008,2008-04-27,MI,SRH,Dr DY Patil Sports Academy,Mumbai,SRH,field,SRH,0,10,AC Gilchrist,13,wickets,10
2008_16,2008,2008-04-29,KKR,MI,Eden Gardens,Kolkata,KKR,bat,MI,0,7,ST Jayasuriya,16,wickets,7
2008_18,2008,2008-05-01,SRH,KXIP,Rajiv Gandhi Intl. Stadium,Hyderabad,KXIP,field,KXIP,0,7,SE Marsh,18,wickets,7
2008_20,2008,2008-05-02,CSK,DD,MA Chidambaram Stadium,Chennai,CSK,bat,DD,0,8,V Sehwag,20,wickets,8
2008_24,2008,2008-05-04,RR,CSK,Sawai Mansingh Stadium,Jaipur,CSK,bat,RR,0,8,Sohail Tanvir,24,wickets,8
2008_25,2008,2008-05-05,RCB,KXIP,M Chinnaswamy Stadium,Bangalore,KXIP,field,KXIP,0,6,S Sreesanth,25,wickets,6
