season,no result,runs,wickets
2008,0.0,41.37931034482759,58.620689655172406
2009,1.7543859649122806,47.368421052631575,50.877192982456144
2010,1.6666666666666667,51.66666666666667,46.666666666666664
2011,1.36986301369863,45.20547945205479,53.42465753424658
2012,0.0,45.94594594594595,54.054054054054056
2013,2.631578947368421,48.68421052631579,48.68421052631579
2014,1.6666666666666667,36.666666666666664,61.66666666666667
2015,5.084745762711865,54.23728813559322,40.67796610169492
2016,0.0,35.0,65.0
2017,1.694915254237288,44.06779661016949,54.23728813559322
2018,0.0,46.666666666666664,53.333333333333336
2019,5.0,36.666666666666664,58.333333333333336
2020,6.666666666666667,45.0,48.333333333333336
2021,1.6666666666666667,36.666666666666664,61.66666666666667
2022,0.0,50.0,50.0
2023,1.3513513513513513,54.054054054054056,44.5945945945946
2024,0.0,49.29577464788733,50.70422535211267
