match_id,season,team1,team2,winner,nrr
2008_01,2008,RCB,KKR,KKR,5.870648355158096
2008_02,2008,DD,RR,DD,-1.8206861585262795
2008_03,2008,KXIP,CSK,CSK,1.5967741935483861
2008_04,2008,MI,RCB,RCB,-0.04878048780487809
2008_05,2008,KKR,SRH,KKR,0.08502361767157485
2008_06,2008,RR,KXIP,RR,-0.3066538090646098
2008_07,2008,SRH,DD,DD,-3.353742840213311
2008_08,2008,CSK,MI,CSK,0.3580216535433074
2008_09,2008,SRH,RR,RR,-0.48165495706479433
2008_10,2008,KXIP,MI,KXIP,3.2826420890937023
2008_11,2008,CSK,KKR,CSK,-1.5233644859813094
2008_12,2008,RCB,RR,RR,-1.3534562211981571
2008_14,2008,KXIP,DD,KXIP,-0.3184390243902433
2008_13,2008,MI,SRH,SRH,-4.6859220779220765
2008_15,2008,RCB,CSK,CSK,0.6990558615263582
2008_16,2008,KKR,MI,MI,-0.4409491525423723
2008_17,2008,DD,RCB,DD,0.4182360113805732
2008_18,2008,SRH,KXIP,KXIP,-0.49852879361075964
2008_19,2008,RR,KKR,RR,1.8336130114883176
2008_20,2008,CSK,DD,DD,-0.6981436642453591
2008_21,2008,RCB,SRH,RCB,0.14754098360655732
2008_22,2008,KXIP,KKR,KXIP,0.23252459016393523
2008_23,2008,MI,DD,MI,0.8387096774193541
2008_24,2008,RR,CSK,RR,-1.4588431590656281
2008_25,2008,RCB,KXIP,KXIP,-0.2648866285229925
2008_26,2008,CSK,SRH,SRH,-0.9608294930875569
2008_27,2008,MI,RR,MI,-0.30303030303030276
2008_29,2008,DD,CSK,CSK,-0.11923809523809581
2008_28,2008,KKR,RCB,KKR,0.3828076685219548
2008_30,2008,RR,SRH,RR,-1.4909917221230318
2008_31,2008,CSK,KXIP,CSK,0.2736828932549127
2008_32,2008,SRH,KKR,KKR,1.386592741935484
2008_33,2008,RR,DD,RR,-0.2099160335865662
2008_34,2008,KXIP,RCB,KXIP,-1.9878616561356823
2008_35,2008,KKR,DD,KKR,0.234375
2008_36,2008,MI,CSK,MI,-2.7150276428212443
2008_37,2008,DD,SRH,DD,0.361180327868853
2008_38,2008,MI,KKR,MI,-6.634801288936627
2008_39,2008,DD,KXIP,KXIP,-1.5813698630136983
2008_40,2008,RR,RCB,RR,2.9710866141732275
2008_42,2008,SRH,MI,MI,0.9405241935483879
2008_41,2008,KKR,CSK,CSK,0.7390891840607203
2008_43,2008,RCB,DD,DD,-1.14854054054054
2008_44,2008,KKR,RR,RR,-1.5940212150433943
2008_45,2008,MI,KXIP,KXIP,0.12116129032257916
2008_46,2008,CSK,RCB,RCB,0.9146005509641872
2008_47,2008,KXIP,SRH,KXIP,-0.07641241024251677
2008_48,2008,DD,MI,DD,-0.63503937007874
2008_49,2008,CSK,RR,RR,0.8056206088992983
2008_50,2008,SRH,RCB,RCB,-1.1428571428571432
2008_51,2008,KKR,KXIP,KKR,-0.3208430913348952
2008_52,2008,RR,MI,RR,-0.1019872515935516
2008_53,2008,SRH,CSK,CSK,-0.16129032258064502
2008_54,2008,KXIP,RR,KXIP,1.7679285523860315
2008_55,2008,RCB,MI,MI,-1.0465473145780058
2008_56,2008,DD,RR,RR,4.145853658536585
2008_57,2008,CSK,KXIP,CSK,-1.9756742464304597
2008_58,2008,CSK,RR,RR,0.07757296466973873
2009_01,2009,CSK,MI,MI,1.0598669623059864
2009_02,2009,RCB,RR,RCB,3.0258320914058623
2009_03,2009,DD,KXIP,DD,-2.6644736842105257
2009_04,2009,SRH,KKR,SRH,-2.7075630252100833
2009_05,2009,RCB,CSK,CSK,3.223790322580644
2009_06,2009,KXIP,KKR,KKR,-0.4354330708661429
2009_07,2009,RCB,SRH,SRH,1.5049193231011415
2009_08,2009,KKR,RR,,0.21978021978022078
2009_09,2009,CSK,DD,DD,0.7319008264462799
2009_10,2009,RCB,KXIP,KXIP,-0.5275671244107407
2009_11,2009,SRH,MI,SRH,0.6939212598425204
2009_12,2009,RCB,DD,DD,-0.4047619047619051
2009_13,2009,KXIP,RR,KXIP,1.1396249999999997
2009_15,2009,CSK,SRH,SRH,-0.584889698705017
2009_14,2009,KKR,MI,MI,3.048387096774192
2009_16,2009,DD,RR,RR,-0.4417893859405382
2009_17,2009,KXIP,MI,KXIP,0.22916666666666696
2009_18,2009,RCB,KKR,RCB,-0.08351219512195218
2009_19,2009,SRH,DD,DD,-0.2804878048780486
2009_20,2009,CSK,RR,CSK,1.7000000000000002
2009_21,2009,RCB,KXIP,RCB,0.33320220298977166
2009_22,2009,KKR,MI,MI,0.48068991376077985
2009_23,2009,CSK,DD,CSK,0.633917355371902
2009_24,2009,SRH,RR,RR,-0.16102591221575935
2009_25,2009,KXIP,KKR,KXIP,0.13008130081300884
2009_26,2009,RCB,MI,RCB,-0.43075183719615584
2009_27,2009,CSK,SRH,CSK,2.019496632399858
2009_29,2009,DD,KKR,DD,-0.6690767519466085
2009_28,2009,KXIP,RR,RR,3.975302419354838
2009_30,2009,SRH,MI,SRH,0.7681951479605438
2009_31,2009,RCB,RR,RR,-1.863225806451613
2009_32,2009,CSK,KXIP,CSK,0.7780808331267046
2009_33,2009,DD,MI,DD,-0.6974358974358976
2009_34,2009,CSK,RR,CSK,-0.4078575466365173
2009_35,2009,SRH,KXIP,KXIP,-0.2474754098360652
2009_36,2009,DD,KKR,DD,-1.0873015873015879
