player,batting_runs,balls_faced,batting_matches,dismissals,batting_average,batting_strike_rate,total_balls,dot_balls_batting,boundaries,fours,sixes,dot_ball_percentage_batting,boundary_percentage,runs_per_boundary,thirties,fifties,hundreds,bowler,runs_conceded,ball,wickets,bowling_matches,overs,bowling_economy,bowling_average,bowling_strike_rate,wickets_per_match,dot_balls_bowling,dot_ball_percentage_bowling,batting_score,bowling_score,allrounder_score
A Ashish Reddy,280,196,23,15,18.666666666666668,142.85714285714286,196,61,31,16,15,31.122448979591837,15.816326530612246,9.03225806451613,2,0,0,A Ashish Reddy,400,270,19,20,45.0,8.88888888888889,21.05263157894737,14.210526315789474,0.95,79.0,29.259259259259256,0.2204690492936063,0.5130236811482178,0.3667463652209121
A Badoni,634,505,35,26,24.384615384615383,125.54455445544555,505,183,70,46,24,36.23762376237624,13.861386138613863,9.057142857142857,2,4,0,A Badoni,37,25,2,5,4.166666666666667,8.879999999999999,18.5,12.5,0.4,5.0,20.0,0.24031854699647076,0.48706356085229324,0.363691053924382
A Chandila,4,7,2,1,4.0,57.14285714285714,7,3,0,0,0,42.857142857142854,0.0,4.0,0,0,0,A Chandila,245,234,11,12,39.0,6.282051282051282,22.272727272727273,21.272727272727273,0.9166666666666666,103.0,44.01709401709402,0.07097887139065076,0.5169082482462763,0.29394355981846354
A Choudhary,25,20,3,2,12.5,125.0,20,4,2,1,1,20.0,10.0,12.5,0,0,0,A Choudhary,144,108,5,5,18.0,8.0,28.8,21.6,1.0,42.0,38.88888888888889,0.16886145268507385,0.47626146623329724,0.3225614594591856
A Dananjaya,4,5,1,0,4.0,80.0,5,2,0,0,0,40.0,0.0,4.0,0,0,0,A Dananjaya,47,25,0,1,4.166666666666667,11.28,47.0,25.0,0.0,6.0,24.0,0.09383601424779364,0.3975384615384615,0.24568723789312757
A Flintoff,62,57,3,2,31.0,108.77192982456141,57,24,7,5,2,42.10526315789473,12.280701754385964,8.857142857142858,0,0,0,A Flintoff,106,66,2,3,11.0,9.636363636363637,53.0,33.0,0.6666666666666666,20.0,30.303030303030305,0.21754833248354455,0.4011451459338783,0.3093467392087114
A Kamboj,2,2,1,0,2.0,100.0,2,0,0,0,0,0.0,0.0,2.0,0,0,0,A Kamboj,115,68,2,3,11.333333333333334,10.147058823529411,57.5,34.0,0.6666666666666666,19.0,27.941176470588236,0.1069180071238968,0.3865047373228815,0.24671137222338915
A Kumble,35,49,15,2,17.5,71.42857142857143,49,24,3,3,0,48.97959183673469,6.122448979591836,11.666666666666666,0,0,0,A Kumble,1089,983,49,42,163.83333333333334,6.646998982706002,22.224489795918366,20.06122448979592,1.1666666666666667,374.0,38.046795523906404,0.13283460518767481,0.5853398370090793,0.3590872210983771
A Mishra,381,440,55,31,12.290322580645162,86.5909090909091,440,199,36,31,5,45.22727272727273,8.181818181818182,10.583333333333334,2,0,0,A Mishra,4193,3444,183,162,574.0,7.304878048780488,22.91256830601093,18.81967213114754,1.1296296296296295,1185.0,34.40766550522648,0.1475064568090885,0.8299128304618926,0.4887096436354905
A Mithun,34,26,6,5,6.8,130.76923076923077,26,11,5,4,1,42.30769230769231,19.230769230769234,6.8,0,0,0,A Mithun,477,312,8,16,52.0,9.173076923076923,59.625,39.0,0.5,90.0,28.846153846153843,0.15564807914820394,0.40098501263994224,0.27831654589407306
A Nehra,41,63,17,8,5.125,65.07936507936508,63,37,4,3,1,58.730158730158735,6.349206349206349,10.25,0,0,0,A Nehra,2537,1974,121,88,329.0,7.711246200607903,20.96694214876033,16.31404958677686,1.375,798.0,40.42553191489361,0.08459737475561345,0.7145844108307671,0.39959089279319027
A Nortje,49,51,13,5,9.8,96.07843137254902,51,25,6,6,0,49.01960784313725,11.76470588235294,8.166666666666666,0,0,0,A Nortje,1614,1097,62,46,182.83333333333334,8.82771194165907,26.032258064516128,17.693548387096776,1.3478260869565217,401.0,36.5542388331814,0.1319332422716574,0.5827932170147919,0.35736322964322464
A Singh,2,10,5,4,0.5,20.0,10,8,0,0,0,80.0,0.0,2.0,0,0,0,A Singh,639,486,31,23,81.0,7.888888888888889,20.612903225806452,15.67741935483871,1.3478260869565217,189.0,38.88888888888889,0.021804370760260455,0.5449069834871743,0.28335567712371734
A Symonds,974,781,36,26,37.46153846153846,124.71190781049937,781,308,115,74,41,39.436619718309856,14.7247119078105,8.469565217391304,8,5,1,A Symonds,694,540,23,30,90.0,7.711111111111111,30.17391304347826,23.47826086956522,0.7666666666666667,190.0,35.18518518518518,0.30103662190349395,0.5093011219802401,0.405168871941867
