batter,runs,balls_faced,matches_batting,dismissals,batting_average,batting_strike_rate,total_balls,dot_balls,boundaries,fours,sixes,dot_ball_percentage,boundary_percentage,runs_per_boundary,thirties,fifties,hundreds
A Ashish Reddy,280,196,23,15,18.666666666666668,142.85714285714286,196,61,31,16,15,31.122448979591837,15.816326530612246,9.03225806451613,2,0,0
A Badoni,634,505,35,26,24.384615384615383,125.54455445544555,505,183,70,46,24,36.23762376237624,13.861386138613863,9.057142857142857,2,4,0
A Chandila,4,7,2,1,4.0,57.14285714285714,7,3,0,0,0,42.857142857142854,0.0,4.0,0,0,0
A Chopra,53,75,6,5,10.6,70.66666666666667,75,45,7,7,0,60.0,9.333333333333334,7.571428571428571,0,0,0
A Choudhary,25,20,3,2,12.5,125.0,20,4,2,1,1,20.0,10.0,12.5,0,0,0
A Dananjaya,4,5,1,0,4.0,80.0,5,2,0,0,0,40.0,0.0,4.0,0,0,0
A Flintoff,62,57,3,2,31.0,108.77192982456141,57,24,7,5,2,42.10526315789473,12.280701754385964,8.857142857142858,0,0,0
A Kamboj,2,2,1,0,2.0,100.0,2,0,0,0,0,0.0,0.0,2.0,0,0,0
A Kumble,35,49,15,2,17.5,71.42857142857143,49,24,3,3,0,48.97959183673469,6.122448979591836,11.666666666666666,0,0,0
A Manohar,231,181,15,14,16.5,127.62430939226519,181,69,31,21,10,38.12154696132597,17.12707182320442,7.451612903225806,3,0,0
A Mishra,381,440,55,31,12.290322580645162,86.5909090909091,440,199,36,31,5,45.22727272727273,8.181818181818182,10.583333333333334,2,0,0
A Mithun,34,26,6,5,6.8,130.76923076923077,26,11,5,4,1,42.30769230769231,19.230769230769234,6.8,0,0,0
A Mukund,19,23,2,2,9.5,82.6086956521739,23,9,1,1,0,39.130434782608695,4.3478260869565215,19.0,0,0,0
A Nehra,41,63,17,8,5.125,65.07936507936508,63,37,4,3,1,58.730158730158735,6.349206349206349,10.25,0,0,0
A Nortje,49,51,13,5,9.8,96.07843137254902,51,25,6,6,0,49.01960784313725,11.76470588235294,8.166666666666666,0,0,0
A Raghuvanshi,163,109,7,7,23.285714285714285,149.54128440366972,109,38,24,16,8,34.862385321100916,22.018348623853214,6.791666666666667,2,1,0
A Singh,2,10,5,4,0.5,20.0,10,8,0,0,0,80.0,0.0,2.0,0,0,0
A Symonds,974,781,36,26,37.46153846153846,124.71190781049937,781,308,115,74,41,39.436619718309856,14.7247119078105,8.469565217391304,8,5,1
A Tomar,4,8,1,1,4.0,50.0,8,7,1,1,0,87.5,12.5,4.0,0,0,0
A Uniyal,4,7,2,1,4.0,57.14285714285714,7,3,0,0,0,42.857142857142854,0.0,4.0,0,0,0
A Zampa,15,25,5,5,3.0,60.0,25,13,1,1,0,52.0,4.0,15.0,0,0,0
AA Bilakhia,69,88,7,5,13.8,78.4090909090909,88,43,5,5,0,48.86363636363637,5.681818181818182,13.8,0,0,0
AA Chavan,12,11,3,1,12.0,109.09090909090908,11,5,2,2,0,45.45454545454545,18.181818181818183,6.0,0,0,0
AA Jhunjhunwala,217,218,15,14,15.5,99.54128440366972,218,98,24,19,5,44.95412844036697,11.009174311926607,9.041666666666666,1,1,0
AA Kulkarni,9,8,2,2,4.5,112.5,8,5,2,2,0,62.5,25.0,4.5,0,0,0
AA Noffke,9,12,1,1,9.0,75.0,12,6,1,1,0,50.0,8.333333333333332,9.0,0,0,0
AB Agarkar,179,160,18,8,22.375,111.87499999999999,160,60,18,13,5,37.5,11.25,9.944444444444445,1,0,0
AB Barath,42,43,3,2,21.0,97.67441860465115,43,22,6,5,1,51.162790697674424,13.953488372093023,7.0,1,0,0
AB Dinda,26,50,16,9,2.888888888888889,52.0,50,31,2,2,0,62.0,4.0,13.0,0,0,0
AB McDonald,123,103,9,5,24.6,119.41747572815532,103,38,13,9,4,36.89320388349515,12.62135922330097,9.461538461538462,2,0,0
AB de Villiers,5181,3487,170,125,41.448,148.58044164037855,3487,1115,667,414,253,31.975910524806423,19.128190421565815,7.767616191904048,22,41,3
AC Blizzard,120,91,7,7,17.142857142857142,131.86813186813185,91,48,23,21,2,52.74725274725275,25.274725274725274,5.217391304347826,1,1,0
AC Gilchrist,2069,1555,80,76,27.223684210526315,133.05466237942122,1555,737,331,239,92,47.39549839228296,21.286173633440512,6.2507552870090635,13,11,2
AC Thomas,20,19,4,2,10.0,105.26315789473684,19,8,2,1,1,42.10526315789473,10.526315789473683,10.0,0,0,0
AC Voges,181,143,7,6,30.166666666666668,126.57342657342659,143,44,18,15,3,30.76923076923077,12.587412587412588,10.055555555555555,2,0,0
AD Hales,148,119,6,6,24.666666666666668,124.36974789915966,119,48,19,13,6,40.33613445378151,15.966386554621847,7.7894736842105265,3,0,0
AD Mascarenhas,79,79,11,10,7.9,100.0,79,29,6,5,1,36.708860759493675,7.59493670886076,13.166666666666666,0,0,0
AD Mathews,724,599,41,31,23.35483870967742,120.86811352253757,599,207,73,44,29,34.5575959933222,12.186978297161936,9.917808219178083,7,1,0
AD Nath,90,99,10,10,9.0,90.9090909090909,99,45,9,7,2,45.45454545454545,9.090909090909092,10.0,0,0,0
AD Russell,2488,1515,104,84,29.61904761904762,164.22442244224422,1515,645,380,171,209,42.57425742574257,25.082508250825082,6.5473684210526315,26,11,0
AF Milne,23,31,6,5,4.6,74.19354838709677,31,15,1,0,1,48.38709677419355,3.225806451612903,23.0,0,0,0
AG Murtaza,10,14,3,1,10.0,71.42857142857143,14,7,1,1,0,50.0,7.142857142857142,10.0,0,0,0
AG Paunikar,49,61,5,5,9.8,80.32786885245902,61,41,9,9,0,67.21311475409836,14.754098360655737,5.444444444444445,0,0,0
AJ Finch,2092,1696,90,84,24.904761904761905,123.34905660377358,1696,749,292,214,78,44.1627358490566,17.21698113207547,7.164383561643835,12,15,0
AJ Hosein,16,11,1,0,16.0,145.45454545454547,11,4,2,1,1,36.36363636363637,18.181818181818183,8.0,0,0,0
AJ Turner,24,31,6,5,4.8,77.41935483870968,31,17,2,0,2,54.83870967741935,6.451612903225806,12.0,0,0,0
AJ Tye,91,79,13,8,11.375,115.18987341772151,79,39,11,6,5,49.36708860759494,13.924050632911392,8.272727272727273,0,0,0
AK Markram,995,787,42,33,30.151515151515152,126.4294790343075,787,241,108,73,35,30.62261753494282,13.722998729351971,9.212962962962964,9,5,0
AL Menaria,401,367,23,22,18.227272727272727,109.26430517711172,367,152,42,24,18,41.41689373297003,11.444141689373296,9.547619047619047,5,0,0
AM Nayar,672,588,50,39,17.23076923076923,114.28571428571428,588,234,75,55,20,39.795918367346935,12.755102040816327,8.96,6,0,0
AM Rahane,4642,3858,171,156,29.756410256410255,120.32141005702437,3858,1463,582,479,103,37.921202695697254,15.085536547433904,7.975945017182131,33,30,2
AN Ahmed,36,27,6,1,36.0,133.33333333333331,27,11,5,4,1,40.74074074074074,18.51851851851852,7.2,0,0,0
AN Ghosh,7,8,2,2,3.5,87.5,8,5,1,1,0,62.5,12.5,7.0,0,0,0
AP Dole,34,23,2,2,17.0,147.82608695652172,23,7,4,3,1,30.434782608695656,17.391304347826086,8.5,1,0,0
AP Majumdar,87,77,4,4,21.75,112.98701298701299,77,28,9,7,2,36.36363636363637,11.688311688311687,9.666666666666666,2,0,0
AP Tare,339,285,27,24,14.125,118.94736842105263,285,142,51,40,11,49.824561403508774,17.894736842105264,6.647058823529412,1,1,0
AR Bawne,12,12,1,0,12.0,100.0,12,4,1,1,0,33.33333333333333,8.333333333333332,12.0,0,0,0
AR Patel,1653,1318,112,78,21.192307692307693,125.41729893778452,1318,470,186,107,79,35.66009104704097,14.112291350531109,8.887096774193548,12,3,0
AS Joseph,27,32,5,1,27.0,84.375,32,16,3,3,0,50.0,9.375,9.0,0,0,0
AS Rajpoot,26,41,7,4,6.5,63.41463414634146,41,27,3,2,1,65.85365853658537,7.317073170731707,8.666666666666666,0,0,0
AS Raut,194,172,16,11,17.636363636363637,112.79069767441861,172,67,20,13,7,38.95348837209303,11.627906976744185,9.7,2,0,0
AS Roy,26,24,6,3,8.666666666666666,108.33333333333333,24,10,3,3,0,41.66666666666667,12.5,8.666666666666666,0,0,0
AS Yadav,49,40,6,7,7.0,122.50000000000001,40,18,7,5,2,45.0,17.5,7.0,0,0,0
AT Carey,32,29,3,2,16.0,110.34482758620689,29,8,1,0,1,27.586206896551722,3.4482758620689653,32.0,0,0,0
AT Rayudu,4348,3490,185,152,28.605263157894736,124.58452722063038,3490,1274,532,359,173,36.50429799426934,15.243553008595988,8.172932330827068,37,22,1
AU Rashid,22,17,2,2,11.0,129.41176470588235,17,8,3,2,1,47.05882352941176,17.647058823529413,7.333333333333333,0,0,0
AUK Pathan,39,26,7,5,7.8,150.0,26,14,7,5,2,53.84615384615385,26.923076923076923,5.571428571428571,0,0,0
Abdul Basith,1,1,1,0,1.0,100.0,1,0,0,0,0,0.0,0.0,1.0,0,0,0
Abdul Samad,579,408,39,32,18.09375,141.91176470588235,408,149,73,37,36,36.51960784313725,17.892156862745097,7.931506849315069,4,0,0
Abdur Razzak,0,2,1,0,0.0,0.0,2,2,0,0,0,100.0,0.0,0.0,0,0,0
Abhishek Sharma,1377,925,61,55,25.036363636363635,148.86486486486484,925,356,201,128,73,38.486486486486484,21.72972972972973,6.850746268656716,16,7,0
Abishek Porel,360,244,16,16,22.5,147.54098360655738,244,90,52,37,15,36.885245901639344,21.311475409836063,6.923076923076923,4,2,0
Akash Deep,19,12,3,2,9.5,158.33333333333331,12,4,3,2,1,33.33333333333333,25.0,6.333333333333333,0,0,0
Akash Madhwal,4,5,1,0,4.0,80.0,5,2,0,0,0,40.0,0.0,4.0,0,0,0
Aman Hakim Khan,115,109,10,9,12.777777777777779,105.50458715596329,109,55,14,8,6,50.45871559633027,12.844036697247708,8.214285714285714,0,1,0
Anirudh Singh,63,69,4,4,15.75,91.30434782608695,69,34,7,6,1,49.275362318840585,10.144927536231885,9.0,1,0,0
Ankit Sharma,87,69,10,7,12.428571428571429,126.08695652173914,69,29,11,7,4,42.028985507246375,15.942028985507244,7.909090909090909,1,0,0
Ankit Soni,7,9,3,2,3.5,77.77777777777779,9,7,1,0,1,77.77777777777779,11.11111111111111,7.0,0,0,0
Anmolpreet Singh,139,117,9,9,15.444444444444445,118.80341880341881,117,55,22,19,3,47.008547008547005,18.803418803418804,6.318181818181818,3,0,0
Anuj Rawat,318,276,21,14,22.714285714285715,115.21739130434783,276,123,40,26,14,44.565217391304344,14.492753623188406,7.95,1,1,0
Anureet Singh,36,47,8,4,9.0,76.59574468085107,47,22,3,2,1,46.808510638297875,6.382978723404255,12.0,0,0,0
Arjun Tendulkar,13,9,1,1,13.0,144.44444444444443,9,2,1,0,1,22.22222222222222,11.11111111111111,13.0,0,0,0
Arshad Khan,96,67,6,4,24.0,143.28358208955223,67,24,11,5,6,35.82089552238806,16.417910447761194,8.727272727272727,0,1,0
Arshad Khan (2),5,4,1,1,5.0,125.0,4,2,1,1,0,50.0,25.0,5.0,0,0,0
Arshdeep Singh,29,42,11,5,5.8,69.04761904761905,42,29,4,4,0,69.04761904761905,9.523809523809524,7.25,0,0,0
Ashutosh Sharma,189,118,9,8,23.625,160.16949152542372,118,43,25,10,15,36.440677966101696,21.1864406779661,7.56,3,1,0
Atharva Taide,247,177,9,8,30.875,139.54802259887003,177,67,35,27,8,37.85310734463277,19.774011299435028,7.057142857142857,1,2,0
Avesh Khan,41,25,9,1,41.0,164.0,25,10,6,3,3,40.0,24.0,6.833333333333333,0,0,0
Azhar Mahmood,388,311,21,19,20.42105263157895,124.7588424437299,311,124,52,39,13,39.87138263665595,16.720257234726688,7.461538461538462,3,2,0
Azmatullah Omarzai,42,34,4,4,10.5,123.52941176470588,34,11,4,2,2,32.35294117647059,11.76470588235294,10.5,0,0,0
B Akhil,76,57,11,7,10.857142857142858,133.33333333333331,57,26,10,5,5,45.614035087719294,17.543859649122805,7.6,0,0,0
B Chipli,280,256,21,16,17.5,109.375,256,110,35,28,7,42.96875,13.671875,8.0,1,1,0
