bowler,total_runs,ball,is_wicket,matches_bowling,overs,bowling_economy,bowling_average,bowling_strike_rate,wickets_per_match,dot_balls,dot_ball_percentage
A Ashish Reddy,400,270,19,20,45.0,8.88888888888889,21.05263157894737,14.210526315789474,0.95,79.0,29.259259259259256
A Badoni,37,25,2,5,4.166666666666667,8.879999999999999,18.5,12.5,0.4,5.0,20.0
A Chandila,245,234,11,12,39.0,6.282051282051282,22.272727272727273,21.272727272727273,0.9166666666666666,103.0,44.01709401709402
A Choudhary,144,108,5,5,18.0,8.0,28.8,21.6,1.0,42.0,38.88888888888889
A Dananjaya,47,25,0,1,4.166666666666667,11.28,47.0,25.0,0.0,6.0,24.0
A Flintoff,106,66,2,3,11.0,9.636363636363637,53.0,33.0,0.6666666666666666,20.0,30.303030303030305
A Kamboj,115,68,2,3,11.333333333333334,10.147058823529411,57.5,34.0,0.6666666666666666,19.0,27.941176470588236
A Kumble,1089,983,49,42,163.83333333333334,6.646998982706002,22.224489795918366,20.06122448979592,1.1666666666666667,374.0,38.046795523906404
A Mishra,4193,3444,183,162,574.0,7.304878048780488,22.91256830601093,18.81967213114754,1.1296296296296295,1185.0,34.40766550522648
A Mithun,477,312,8,16,52.0,9.173076923076923,59.625,39.0,0.5,90.0,28.846153846153843
A Nehra,2537,1974,121,88,329.0,7.711246200607903,20.96694214876033,16.31404958677686,1.375,798.0,40.42553191489361
A Nel,31,18,1,1,3.0,10.333333333333334,31.0,18.0,1.0,7.0,38.88888888888889
A Nortje,1614,1097,62,46,182.83333333333334,8.82771194165907,26.032258064516128,17.693548387096776,1.3478260869565217,401.0,36.5542388331814
A Singh,639,486,31,23,81.0,7.888888888888889,20.612903225806452,15.67741935483871,1.3478260869565217,189.0,38.88888888888889
A Symonds,694,540,23,30,90.0,7.711111111111111,30.17391304347826,23.47826086956522,0.7666666666666667,190.0,35.18518518518518
A Uniyal,67,38,3,2,6.333333333333333,10.578947368421053,22.333333333333332,12.666666666666666,1.5,8.0,21.052631578947366
A Zampa,562,425,30,20,70.83333333333333,7.934117647058824,18.733333333333334,14.166666666666666,1.5,129.0,30.352941176470587
AA Chavan,339,255,8,13,42.5,7.976470588235294,42.375,31.875,0.6153846153846154,100.0,39.21568627450981
AA Jhunjhunwala,130,88,1,10,14.666666666666666,8.863636363636363,130.0,88.0,0.1,27.0,30.681818181818183
AA Kazi,21,13,1,1,2.1666666666666665,9.692307692307693,21.0,13.0,1.0,2.0,15.384615384615385
AA Noffke,41,25,1,1,4.166666666666667,9.84,41.0,25.0,1.0,6.0,24.0
AB Agarkar,1174,820,33,42,136.66666666666666,8.590243902439026,35.57575757575758,24.848484848484848,0.7857142857142857,254.0,30.975609756097562
