batter,position,runs,balls,dismissals,innings,batting_average,batting_strike_rate
A Ashish Reddy,3,5,7,1,1,5.0,71.42857142857143
A Ashish Reddy,6,32,27,5,5,6.4,118.5185185185185
A Ashish Reddy,7,139,87,5,11,27.8,159.77011494252872
A Ashish Reddy,8,71,49,3,4,23.666666666666668,144.89795918367346
A Ashish Reddy,9,33,26,1,2,33.0,126.92307692307692
A Badoni,3,48,41,4,4,12.0,117.07317073170731
A Badoni,4,45,51,3,3,15.0,88.23529411764706
A Badoni,5,9,13,1,2,9.0,69.23076923076923
A Badoni,6,300,236,13,17,23.076923076923077,127.11864406779661
A Badoni,7,210,154,5,8,42.0,136.36363636363635
A Badoni,8,22,10,0,1,22.0,220.00000000000003
A Chandila,8,4,6,0,1,4.0,66.66666666666666
A Chandila,9,0,1,1,1,0.0,0.0
A Chopra,1,2,5,1,1,2.0,40.0
A Chopra,2,14,22,1,2,14.0,63.63636363636363
A Chopra,3,24,25,1,1,24.0,96.0
A Chopra,5,11,20,1,1,11.0,55.00000000000001
A Chopra,7,2,3,1,1,2.0,66.66666666666666
A Choudhary,10,15,12,0,1,15.0,125.0
A Choudhary,11,10,8,2,2,5.0,125.0
A Dananjaya,8,4,5,0,1,4.0,80.0
A Flintoff,4,24,25,1,1,24.0,96.0
A Flintoff,5,38,32,1,2,38.0,118.75
A Kamboj,9,2,2,0,1,2.0,100.0
A Kumble,9,7,6,0,1,7.0,116.66666666666667
A Kumble,10,22,29,2,8,11.0,75.86206896551724
A Kumble,11,6,14,0,6,6.0,42.857142857142854
A Manohar,4,30,27,4,4,7.5,111.11111111111111
A Manohar,5,51,43,2,2,25.5,118.6046511627907
A Manohar,6,132,97,6,6,22.0,136.08247422680412
A Manohar,7,18,14,2,3,9.0,128.57142857142858
A Mishra,5,15,21,1,1,15.0,71.42857142857143
A Mishra,7,51,46,4,4,12.75,110.86956521739131
A Mishra,8,175,198,16,23,10.9375,88.38383838383838
A Mishra,9,95,123,7,19,13.571428571428571,77.23577235772358
A Mishra,10,45,52,3,8,15.0,86.53846153846155
A Mithun,8,17,13,2,3,8.5,130.76923076923077
A Mithun,9,17,13,3,3,5.666666666666667,130.76923076923077
A Mukund,1,19,22,1,1,19.0,86.36363636363636
A Mukund,8,0,1,1,1,0.0,0.0
A Nehra,9,24,24,1,5,24.0,100.0
A Nehra,10,4,14,4,6,1.0,28.57142857142857
A Nehra,11,13,25,3,6,4.333333333333333,52.0
