bowler,bowled,caught,caught and bowled,hit wicket,lbw,obstructing the field,retired hurt,retired out,run out,stumped
A Ashish Reddy,6.0,8.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
A Badoni,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
A Choudhary,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Flintoff,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Kamboj,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Kumble,8.0,24.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,8.0
A Mishra,26.0,102.0,4.0,0.0,14.0,0.0,0.0,0.0,9.0,28.0
A Mithun,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
A Nehra,23.0,76.0,2.0,0.0,5.0,0.0,0.0,0.0,15.0,0.0
A Nel,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nortje,16.0,41.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
A Singh,6.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
A Symonds,2.0,13.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0
A Uniyal,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
A Zampa,2.0,22.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0
AA Chavan,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
AA Jhunjhunwala,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AA Noffke,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,5.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
AB Dinda,14.0,52.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0
AB McDonald,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
AC Gilchrist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC Thomas,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AD Mascarenhas,3.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AD Mathews,6.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
AD Russell,11.0,95.0,4.0,2.0,3.0,0.0,0.0,0.0,10.0,0.0
AF Milne,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
AG Murtaza,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0
