bowler,runs,balls,matches,wickets,overs,economy,average,strike_rate
A Kumble,314,236,10,8.0,39.333333333333336,7.983050847457626,39.25,29.5
A Mishra,140,123,6,11.0,20.5,6.829268292682927,12.727272727272727,11.181818181818182
A Nehra,357,280,14,14.0,46.666666666666664,7.65,25.5,20.0
A Nel,31,18,1,1.0,3.0,10.333333333333334,31.0,18.0
A Symonds,106,44,3,0.0,7.333333333333333,14.454545454545455,inf,inf
AA Noffke,41,25,1,1.0,4.166666666666667,9.84,41.0,25.0
AB Agarkar,211,168,9,8.0,28.0,7.535714285714286,26.375,21.0
AB Dinda,266,245,12,11.0,40.833333333333336,6.514285714285714,24.181818181818183,22.272727272727273
AD Mascarenhas,31,25,1,2.0,4.166666666666667,7.4399999999999995,15.5,12.5
AM Nayar,69,43,5,1.0,7.166666666666667,9.627906976744185,69.0,43.0
Abdur Razzak,29,14,1,0.0,2.3333333333333335,12.428571428571427,inf,inf
B Akhil,138,105,6,3.0,17.5,7.885714285714286,46.0,35.0
B Geeves,91,49,2,2.0,8.166666666666666,11.142857142857144,45.5,24.5
B Lee,118,99,4,5.0,16.5,7.151515151515151,23.6,19.8
BAW Mendis,24,24,1,1.0,4.0,6.0,24.0,24.0
CK Kapugedera,49,17,3,0.0,2.8333333333333335,17.294117647058822,inf,inf
CL White,24,7,1,0.0,1.1666666666666667,20.57142857142857,inf,inf
CRD Fernando,164,128,5,12.0,21.333333333333332,7.6875,13.666666666666666,10.666666666666666
D Kalyankrishna,88,50,3,2.0,8.333333333333334,10.559999999999999,44.0,25.0
D Salunkhe,80,51,5,1.0,8.5,9.411764705882353,80.0,51.0
DB Ravi Teja,19,12,1,1.0,2.0,9.5,19.0,12.0
DJ Bravo,239,181,9,11.0,30.166666666666668,7.922651933701657,21.727272727272727,16.454545454545453
DJ Hussey,134,79,5,3.0,13.166666666666666,10.177215189873419,44.666666666666664,26.333333333333332
DJ Thornely,40,44,4,3.0,7.333333333333333,5.454545454545455,13.333333333333334,14.666666666666666
DL Vettori,54,48,2,2.0,8.0,6.75,27.0,24.0
DNT Zoysa,100,69,3,2.0,11.5,8.695652173913043,50.0,34.5
DP Vijaykumar,205,159,9,4.0,26.5,7.735849056603773,51.25,39.75
DR Smith,83,69,4,5.0,11.5,7.217391304347826,16.6,13.8
DS Kulkarni,242,193,10,13.0,32.166666666666664,7.523316062176167,18.615384615384617,14.846153846153847
DW Steyn,265,247,10,13.0,41.166666666666664,6.437246963562753,20.384615384615383,19.0
GD McGrath,366,329,14,14.0,54.833333333333336,6.674772036474164,26.142857142857142,23.5
Gagandeep Singh,142,84,4,3.0,14.0,10.142857142857142,47.333333333333336,28.0
Harbhajan Singh,84,62,3,6.0,10.333333333333334,8.129032258064516,14.0,10.333333333333334
I Sharma,348,266,13,7.0,44.333333333333336,7.849624060150376,49.714285714285715,38.0
IK Pathan,361,336,14,20.0,56.0,6.446428571428571,18.05,16.8
Iqbal Abdulla,22,18,1,1.0,3.0,7.333333333333333,22.0,18.0
JA Morkel,414,310,13,20.0,51.666666666666664,8.012903225806452,20.7,15.5
JDP Oram,149,100,4,6.0,16.666666666666668,8.94,24.833333333333332,16.666666666666668
JH Kallis,322,211,11,4.0,35.166666666666664,9.156398104265403,80.5,52.75
JR Hopes,285,171,11,7.0,28.5,10.0,40.714285714285715,24.428571428571427
Joginder Sharma,241,158,7,9.0,26.333333333333332,9.151898734177216,26.77777777777778,17.555555555555557
K Goel,25,12,1,0.0,2.0,12.5,inf,inf
L Balaji,293,205,9,11.0,34.166666666666664,8.575609756097561,26.636363636363637,18.636363636363637
LPC Silva,21,6,1,0.0,1.0,21.0,inf,inf
LR Shukla,126,78,9,6.0,13.0,9.692307692307692,21.0,13.0
M Kartik,132,89,5,5.0,14.833333333333334,8.898876404494382,26.4,17.8
M Muralitharan,416,369,15,11.0,61.5,6.764227642276423,37.81818181818182,33.54545454545455
M Ntini,257,213,9,8.0,35.5,7.23943661971831,32.125,26.625
MA Khote,52,30,2,2.0,5.0,10.4,26.0,15.0
MF Maharoof,255,226,10,19.0,37.666666666666664,6.769911504424779,13.421052631578947,11.894736842105264
MM Patel,423,336,15,16.0,56.0,7.553571428571429,26.4375,21.0
MS Gony,456,371,16,18.0,61.833333333333336,7.37466307277628,25.333333333333332,20.61111111111111
Mohammad Asif,307,199,8,9.0,33.166666666666664,9.256281407035177,34.111111111111114,22.11111111111111
Mohammad Hafeez,71,63,4,2.0,10.5,6.761904761904762,35.5,31.5
P Amarnath,241,132,6,7.0,22.0,10.954545454545455,34.42857142857143,18.857142857142858
P Kumar,376,275,13,12.0,45.833333333333336,8.203636363636363,31.333333333333332,22.916666666666668
PJ Sangwan,221,155,7,7.0,25.833333333333332,8.55483870967742,31.571428571428573,22.142857142857142
PM Sarvesh Kumar,42,31,2,1.0,5.166666666666667,8.129032258064516,42.0,31.0
PP Chawla,396,286,15,19.0,47.666666666666664,8.307692307692308,20.842105263157894,15.052631578947368
PP Ojha,299,236,12,11.0,39.333333333333336,7.601694915254237,27.181818181818183,21.454545454545453
Pankaj Singh,129,76,5,0.0,12.666666666666666,10.18421052631579,inf,inf
R Bhatia,185,134,9,9.0,22.333333333333332,8.283582089552239,20.555555555555557,14.88888888888889
R Vinay Kumar,183,141,8,7.0,23.5,7.787234042553192,26.142857142857142,20.142857142857142
RA Jadeja,21,13,2,1.0,2.1666666666666665,9.692307692307693,21.0,13.0
RG Sharma,26,25,1,1.0,4.166666666666667,6.239999999999999,26.0,25.0
RP Singh,459,325,14,17.0,54.166666666666664,8.473846153846154,27.0,19.11764705882353
RR Powar,93,77,5,3.0,12.833333333333334,7.246753246753246,31.0,25.666666666666668
RR Raje,142,102,6,6.0,17.0,8.352941176470589,23.666666666666668,17.0
S Sreesanth,451,332,15,19.0,55.333333333333336,8.150602409638553,23.736842105263158,17.473684210526315
S Vidyut,22,13,1,1.0,2.1666666666666665,10.153846153846155,22.0,13.0
SB Bangar,221,153,9,6.0,25.5,8.666666666666666,36.833333333333336,25.5
SB Joshi,82,55,4,1.0,9.166666666666666,8.945454545454545,82.0,55.0
SB Styris,201,167,8,4.0,27.833333333333332,7.221556886227545,50.25,41.75
SC Ganguly,132,121,7,7.0,20.166666666666668,6.545454545454545,18.857142857142858,17.285714285714285
SD Chitnis,62,38,2,2.0,6.333333333333333,9.789473684210527,31.0,19.0
SK Raina,30,20,2,2.0,3.3333333333333335,9.0,15.0,10.0
SK Trivedi,407,300,15,15.0,50.0,8.14,27.133333333333333,20.0
SK Warne,409,319,15,20.0,53.166666666666664,7.692789968652038,20.45,15.95
