,RCB,DD,KXIP,MI,KKR,RR,SRH,CSK
1,0,0,0,0,2,0,0,0
2,0,2,0,0,2,0,0,0
3,0,2,0,0,2,0,0,2
4,2,2,0,0,2,0,0,2
5,2,2,0,0,4,0,0,2
6,2,2,0,0,4,2,0,2
7,2,4,0,0,4,2,0,2
8,2,4,0,0,4,2,0,4
9,2,4,0,0,4,4,0,4
10,2,4,2,0,4,4,0,4
11,2,4,2,0,4,4,0,6
12,2,4,2,0,4,6,0,6
13,2,4,4,0,4,6,0,6
14,2,4,4,0,4,6,2,6
15,2,4,4,0,4,6,2,8
16,2,4,4,2,4,6,2,8
17,2,6,4,2,4,6,2,8
18,2,6,6,2,4,6,2,8
19,2,6,6,2,4,8,2,8
20,2,8,6,2,4,8,2,8
21,4,8,6,2,4,8,2,8
22,4,8,8,2,4,8,2,8
23,4,8,8,4,4,8,2,8
24,4,8,8,4,4,10,2,8
25,4,8,10,4,4,10,2,8
26,4,8,10,4,4,10,4,8
27,4,8,10,6,4,10,4,8
28,4,8,10,6,4,10,4,10
29,4,8,10,6,6,10,4,10
30,4,8,10,6,6,12,4,10
31,4,8,10,6,6,12,4,12
32,4,8,10,6,8,12,4,12
33,4,8,10,6,8,14,4,12
34,4,8,12,6,8,14,4,12
35,4,8,12,6,10,14,4,12
36,4,8,12,8,10,14,4,12
37,4,10,12,8,10,14,4,12
38,4,10,12,10,10,14,4,12
39,4,10,14,10,10,14,4,12
40,4,10,14,10,10,16,4,12
41,4,10,14,12,10,16,4,12
42,4,10,14,12,10,16,4,14
43,4,12,14,12,10,16,4,14
44,4,12,14,12,10,18,4,14
45,4,12,16,12,10,18,4,14
46,6,12,16,12,10,18,4,14
47,6,12,18,12,10,18,4,14
48,6,14,18,12,10,18,4,14
49,6,14,18,12,10,20,4,14
50,8,14,18,12,10,20,4,14
51,8,14,18,12,12,20,4,14
52,8,14,18,12,12,22,4,14
53,8,14,18,12,12,22,4,16
54,8,14,20,12,12,22,4,16
55,8,14,20,14,12,22,4,16
56,8,14,20,14,12,24,4,16
57,8,14,20,14,12,24,4,18
58,8,14,20,14,12,26,4,18
