,CSK,RCB,DD,SRH,KXIP,KKR,MI,RR
1,0,0,0,0,0,0,2,0
2,0,2,0,0,0,0,2,0
3,0,2,2,0,0,0,2,0
4,0,2,2,2,0,0,2,0
5,2,2,2,2,0,0,2,0
6,2,2,2,2,0,2,2,0
7,2,2,2,4,0,2,2,0
8,2,2,2,4,0,2,2,0
9,2,2,4,4,0,2,2,0
10,2,2,4,4,2,2,2,0
11,2,2,4,6,2,2,2,0
12,2,2,6,6,2,2,2,0
13,2,2,6,6,4,2,2,0
14,2,2,6,8,4,2,2,0
15,2,2,6,8,4,2,4,0
16,2,2,6,8,4,2,4,2
17,2,2,6,8,6,2,4,2
18,2,4,6,8,6,2,4,2
19,2,4,8,8,6,2,4,2
20,4,4,8,8,6,2,4,2
21,4,6,8,8,6,2,4,2
22,4,6,8,8,6,2,6,2
23,6,6,8,8,6,2,6,2
24,6,6,8,8,6,2,6,4
25,6,6,8,8,8,2,6,4
26,6,8,8,8,8,2,6,4
27,8,8,8,8,8,2,6,4
28,8,8,10,8,8,2,6,4
29,8,8,10,8,8,2,6,6
30,8,8,10,10,8,2,6,6
31,8,8,10,10,8,2,6,8
32,10,8,10,10,8,2,6,8
33,10,8,12,10,8,2,6,8
34,12,8,12,10,8,2,6,8
35,12,8,12,10,10,2,6,8
36,12,8,14,10,10,2,6,8
37,12,8,14,10,10,2,8,8
38,12,8,14,12,10,2,8,8
39,12,10,14,12,10,2,8,8
40,12,10,14,12,10,2,10,8
41,12,10,16,12,10,2,10,8
42,12,10,16,12,10,2,10,10
43,12,12,16,12,10,2,10,10
44,12,12,16,12,12,2,10,10
45,14,12,16,12,12,2,10,10
46,14,12,16,14,12,2,10,10
47,14,12,18,14,12,2,10,10
48,14,12,18,14,14,2,10,10
49,14,12,18,14,14,4,10,10
50,14,14,18,14,14,4,10,10
51,14,14,18,14,14,6,10,10
52,16,14,18,14,14,6,10,10
53,16,16,18,14,14,6,10,10
54,16,16,20,14,14,6,10,10
55,16,16,20,16,14,6,10,10
56,16,18,20,16,14,6,10,10
57,16,18,20,18,14,6,10,10
