,SRH,MI,KXIP,CSK,KKR,RR,RCB,DD
1,0,0,0,0,2,0,0,0
2,0,2,0,0,2,0,0,0
3,0,2,0,0,2,0,0,2
4,2,2,0,0,2,0,0,2
5,2,2,0,0,4,0,0,2
6,2,2,0,0,4,0,0,4
7,2,2,0,2,4,0,0,4
8,2,2,0,2,4,0,2,4
9,2,4,0,2,4,0,2,4
10,2,4,0,2,4,0,4,4
11,4,4,0,2,4,0,4,4
12,4,4,0,4,4,0,4,4
13,4,4,0,4,4,0,6,4
14,4,4,0,4,4,2,6,4
15,4,4,0,4,4,2,6,4
16,6,4,0,4,4,2,6,4
17,6,6,0,4,4,2,6,4
18,6,6,0,4,4,2,8,4
19,6,6,0,4,4,4,8,4
20,6,8,0,4,4,4,8,4
21,6,8,0,4,4,4,8,6
22,6,8,0,4,4,6,8,6
23,6,8,0,4,6,6,8,6
24,6,10,0,4,6,6,8,6
25,6,10,0,4,6,8,8,6
26,6,10,0,4,6,8,8,8
27,6,12,0,4,6,8,8,8
28,6,12,0,6,6,8,8,8
29,6,12,0,6,6,8,8,10
30,6,12,0,6,8,8,8,10
31,6,12,0,6,8,8,10,10
32,6,12,0,8,8,8,10,10
33,6,14,0,8,8,8,10,10
34,6,14,0,8,8,8,10,12
35,6,14,2,8,8,8,10,12
36,6,14,2,8,8,10,10,12
37,6,14,2,10,8,10,10,12
38,6,14,2,10,10,10,10,12
39,6,14,2,10,10,12,10,12
40,8,14,2,10,10,12,10,12
41,8,14,4,10,10,12,10,12
42,10,14,4,10,10,12,10,12
43,10,14,4,10,10,12,12,12
44,10,16,4,10,10,12,12,12
45,10,16,6,10,10,12,12,12
46,12,16,6,10,10,12,12,12
47,12,18,6,10,10,12,12,12
48,12,18,6,12,10,12,12,12
49,12,18,6,12,10,12,14,12
50,12,18,6,12,10,12,14,14
51,14,18,6,12,10,12,14,14
52,14,20,6,12,10,12,14,14
53,14,20,6,12,12,12,14,14
54,16,20,6,12,12,12,14,14
55,16,20,6,14,12,12,14,14
56,16,20,6,14,14,12,14,14
57,16,22,6,14,14,12,14,14
58,16,22,6,16,14,12,14,14
59,16,22,6,16,14,12,16,14
60,16,22,6,18,14,12,16,14
