,CSK,SRH,KTK,PW,DD,KKR,RCB,RR,KXIP,MI
1,2,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,2,0,0
3,2,0,0,0,0,0,2,2,0,0
4,2,0,0,2,0,0,2,2,0,0
5,2,0,0,2,0,0,2,2,0,2
6,2,0,0,2,0,2,2,2,0,2
7,2,0,0,2,0,2,2,2,0,4
8,2,0,0,2,0,2,2,4,0,4
9,2,0,0,4,0,2,2,4,0,4
10,2,0,0,4,0,2,2,4,2,4
11,2,2,0,4,0,2,2,4,2,4
12,2,2,0,4,0,4,2,4,2,4
13,2,2,2,4,0,4,2,4,2,4
14,2,2,2,4,0,4,2,4,4,4
15,4,2,2,4,0,4,2,4,4,4
16,4,2,2,4,0,6,2,4,4,4
17,4,2,2,4,2,6,2,4,4,4
18,4,2,4,4,2,6,2,4,4,4
19,4,4,4,4,2,6,2,4,4,4
20,4,4,6,4,2,6,2,4,4,4
21,4,4,6,4,2,6,2,4,4,6
22,4,4,6,4,2,6,2,4,6,6
23,4,4,6,4,2,6,4,4,6,6
24,4,4,6,4,2,6,4,4,6,8
25,4,4,6,4,4,6,4,4,6,8
26,4,4,6,4,4,6,4,6,6,8
27,4,4,6,4,4,6,4,6,6,10
28,6,4,6,4,4,6,4,6,6,10
29,6,4,6,4,4,6,6,6,6,10
30,6,6,6,4,4,6,6,6,6,10
31,8,6,6,4,4,6,6,6,6,10
32,8,6,6,4,4,8,6,6,6,10
33,8,6,6,4,4,8,8,6,6,10
34,8,6,6,4,4,8,8,8,6,10
35,8,6,6,4,4,10,8,8,6,10
36,8,6,6,4,6,10,8,8,6,10
37,8,6,6,4,6,10,8,10,6,10
38,10,6,6,4,6,10,8,10,6,10
39,10,6,8,4,6,10,8,10,6,10
40,10,6,8,4,6,10,8,10,6,12
41,10,6,8,4,6,12,8,10,6,12
42,12,6,8,4,6,12,8,10,6,12
43,12,6,8,4,6,12,8,10,6,14
44,12,6,10,4,6,12,8,10,6,14
45,12,6,10,4,8,12,8,10,6,14
46,12,6,10,4,8,12,10,10,6,14
47,12,6,10,4,8,14,10,10,6,14
48,12,6,10,4,8,14,10,10,6,16
49,12,6,10,6,8,14,10,10,6,16
50,12,6,10,6,8,14,12,10,6,16
51,14,6,10,6,8,14,12,10,6,16
52,14,6,10,8,8,14,12,10,6,16
53,14,6,10,8,8,14,12,10,8,16
54,14,6,10,8,8,14,14,10,8,16
55,16,6,10,8,8,14,14,10,8,16
56,16,6,10,8,8,14,14,10,10,16
57,16,6,10,8,8,14,16,10,10,16
58,16,8,10,8,8,14,16,10,10,16
59,16,8,12,8,8,14,16,10,10,16
60,16,8,12,8,8,14,16,10,12,16
61,16,10,12,8,8,14,16,10,12,16
62,16,10,12,8,8,14,16,10,14,16
63,18,10,12,8,8,14,16,10,14,16
64,18,10,12,8,8,16,16,10,14,16
65,18,10,12,8,8,16,16,12,14,16
66,18,12,12,8,8,16,16,12,14,16
67,18,12,12,8,8,16,16,12,14,16
68,18,12,12,8,8,16,18,12,14,16
69,18,12,12,8,8,16,18,12,14,18
70,20,12,12,8,8,16,18,12,14,18
71,20,12,12,8,8,16,18,12,14,20
72,20,12,12,8,8,16,20,12,14,20
73,22,12,12,8,8,16,20,12,14,20
