,CSK,KKR,RR,MI,SRH,RCB,PW,DD,KXIP
1,0,0,0,2,0,0,0,0,0
2,0,0,0,2,0,0,0,2,0
3,0,0,2,2,0,0,0,2,0
4,0,0,2,2,0,0,2,2,0
5,2,0,2,2,0,0,2,2,0
6,2,0,2,2,0,2,2,2,0
7,2,0,2,2,0,2,4,2,0
8,2,0,4,2,0,2,4,2,0
9,2,0,4,4,0,2,4,2,0
10,2,2,4,4,0,2,4,2,0
11,2,2,4,4,0,2,4,4,0
12,2,2,4,6,0,2,4,4,0
13,2,2,4,6,0,2,4,4,2
14,4,2,4,6,0,2,4,4,2
15,4,4,4,6,0,2,4,4,2
16,4,4,4,6,0,2,6,4,2
17,4,4,6,6,0,2,6,4,2
18,4,4,6,6,0,2,6,4,4
19,4,4,6,6,0,2,6,6,4
20,4,4,6,6,0,4,6,6,4
21,4,4,8,6,0,4,6,6,4
22,4,6,8,6,0,4,6,6,4
23,4,6,8,6,0,4,6,8,4
24,6,6,8,6,0,4,6,8,4
25,6,6,8,6,0,6,6,8,4
26,6,6,8,6,0,6,8,8,4
27,8,6,8,6,0,6,8,8,4
28,8,8,8,6,0,6,8,8,4
29,8,8,8,6,0,6,8,8,6
30,8,8,8,6,0,8,8,8,6
31,8,8,8,6,0,8,8,10,6
32,8,8,8,8,0,8,8,10,6
33,8,8,8,8,2,8,8,10,6
34,8,8,8,8,2,8,8,12,6
35,8,10,8,8,2,8,8,12,6
36,8,10,8,8,2,8,8,12,8
37,8,10,8,8,2,8,8,14,8
38,8,10,8,10,2,8,8,14,8
39,8,12,8,10,2,8,8,14,8
40,8,12,8,10,4,8,8,14,8
41,8,12,8,10,4,8,8,16,8
42,8,12,8,10,4,8,8,16,10
43,8,12,8,12,4,8,8,16,10
44,10,12,8,12,4,8,8,16,10
45,10,14,8,12,4,8,8,16,10
46,10,14,10,12,4,8,8,16,10
47,10,14,10,14,4,8,8,16,10
48,10,14,10,14,4,10,8,16,10
49,10,16,10,14,4,10,8,16,10
50,10,16,12,14,4,10,8,16,10
51,10,16,12,14,4,10,8,16,12
52,10,16,12,14,4,12,8,16,12
53,10,16,12,14,4,12,8,18,12
54,12,16,12,14,4,12,8,18,12
55,12,16,12,14,4,14,8,18,12
56,14,16,12,14,4,14,8,18,12
57,14,16,12,16,4,14,8,18,12
58,14,16,14,16,4,14,8,18,12
59,14,16,14,16,4,14,8,18,14
60,16,16,14,16,4,14,8,18,14
61,16,16,14,18,4,14,8,18,14
62,16,16,14,18,4,14,8,20,14
63,16,18,14,18,4,14,8,20,14
64,16,18,14,18,4,16,8,20,14
65,16,18,14,18,4,16,8,20,16
66,16,18,14,18,6,16,8,20,16
67,16,18,14,18,6,16,8,22,16
68,16,20,14,18,6,16,8,22,16
69,16,20,14,18,8,16,8,22,16
70,16,20,14,20,8,16,8,22,16
71,16,22,14,20,8,16,8,22,16
72,18,22,14,20,8,16,8,22,16
73,20,22,14,20,8,16,8,22,16
74,20,24,14,20,8,16,8,22,16
