,KKR,RCB,SRH,DD,CSK,PW,RR,MI,KXIP
1,2,0,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,0,0
3,2,2,2,0,0,0,0,0,0
4,2,2,2,0,0,0,2,0,0
5,2,2,2,0,0,0,2,2,0
6,2,2,2,0,0,0,2,2,2
7,2,2,2,0,0,0,2,2,2
8,2,2,2,0,0,0,4,2,2
9,2,2,2,0,0,0,4,4,2
10,2,4,2,0,0,0,4,4,2
11,2,4,2,0,2,0,4,4,2
12,2,4,2,0,2,2,4,4,2
13,2,6,2,0,2,2,4,4,2
14,2,6,4,0,2,2,4,4,2
15,2,6,4,0,2,2,4,6,2
16,2,6,4,0,4,2,4,6,2
17,2,6,4,0,4,2,6,6,2
18,4,6,4,0,4,2,6,6,2
19,4,6,4,0,4,4,6,6,2
20,4,6,4,0,4,4,6,6,2
21,4,6,4,0,4,4,6,6,4
22,4,6,4,0,4,4,8,6,4
23,4,6,6,0,4,4,8,6,4
24,4,6,6,0,6,4,8,6,4
25,4,6,8,0,6,4,8,6,4
26,4,8,8,0,6,4,8,6,4
27,4,8,8,0,8,4,8,6,4
28,4,8,8,0,8,4,8,6,6
29,4,8,8,2,8,4,8,6,6
30,4,8,8,2,10,4,8,6,6
31,4,10,8,2,10,4,8,6,6
32,4,10,8,2,10,4,8,6,8
33,4,10,8,2,10,4,8,8,8
34,4,10,8,2,12,4,8,8,8
35,6,10,8,2,12,4,8,8,8
36,6,10,8,2,12,4,8,10,8
37,6,10,8,2,12,4,10,10,8
38,6,10,8,4,12,4,10,10,8
39,6,10,8,4,14,4,10,10,8
40,6,10,8,4,14,4,10,12,8
41,6,10,8,4,14,4,12,12,8
42,6,10,8,4,16,4,12,12,8
43,6,10,8,6,16,4,12,12,8
44,6,10,10,6,16,4,12,12,8
45,6,10,10,6,18,4,12,12,8
46,6,12,10,6,18,4,12,12,8
47,8,12,10,6,18,4,12,12,8
48,8,12,12,6,18,4,12,12,8
49,8,12,12,6,18,4,12,14,8
50,8,12,12,6,18,4,14,14,8
51,8,12,12,6,18,4,14,14,10
52,8,12,12,6,18,4,14,16,10
53,8,12,12,6,18,4,16,16,10
54,8,12,12,6,20,4,16,16,10
55,8,12,12,6,20,4,18,16,10
56,10,12,12,6,20,4,18,16,10
57,10,14,12,6,20,4,18,16,10
58,10,14,14,6,20,4,18,16,10
59,10,14,14,6,20,4,18,18,10
60,12,14,14,6,20,4,18,18,10
61,12,14,14,6,20,4,20,18,10
62,12,14,14,6,20,4,20,20,10
63,12,14,14,6,22,4,20,20,10
64,12,14,14,6,22,4,20,20,12
65,12,14,14,6,22,6,20,20,12
66,12,14,14,6,22,6,20,22,12
67,12,14,14,6,22,6,20,22,14
68,12,14,16,6,22,6,20,22,14
69,12,14,16,6,22,6,20,22,16
70,12,16,16,6,22,6,20,22,16
71,12,16,16,6,22,8,20,22,16
72,12,16,18,6,22,8,20,22,16
73,12,16,18,6,24,8,20,22,16
74,12,16,18,6,24,8,22,22,16
75,12,16,18,6,24,8,22,24,16
76,12,16,18,6,24,8,22,26,16
