batter,runs,balls,matches,dismissals,average,strike_rate,sixes,fours,highest_score
A Mishra,4,7,2,1.0,4.0,57.14285714285714,0.0,0.0,4
AB Dinda,4,13,3,1.0,4.0,30.76923076923077,0.0,0.0,2
AB de Villiers,395,255,13,11.0,35.90909090909091,154.90196078431373,24.0,26.0,89
AD Russell,2,8,2,2.0,1.0,25.0,0.0,0.0,1
AJ Finch,309,268,13,11.0,28.09090909090909,115.29850746268657,9.0,31.0,88
AM Nayar,43,50,4,4.0,10.75,86.0,1.0,5.0,23
AM Rahane,339,298,12,10.0,33.9,113.75838926174498,3.0,38.0,72
AN Ahmed,4,1,1,0.0,4.0,400.0,0.0,1.0,4
AP Tare,126,102,11,8.0,15.75,123.52941176470588,3.0,16.0,24
AR Patel,62,61,7,5.0,12.4,101.63934426229508,1.0,6.0,42
AT Rayudu,361,296,14,14.0,25.785714285714285,121.95945945945945,8.0,31.0,68
Ankit Sharma,34,31,2,2.0,17.0,109.6774193548387,1.0,4.0,30
B Kumar,1,4,2,1.0,1.0,25.0,0.0,0.0,1
BB McCullum,405,341,14,13.0,31.153846153846153,118.76832844574781,19.0,32.0,71
BCJ Cutting,8,6,1,0.0,8.0,133.33333333333331,1.0,0.0,8
BE Hendricks,0,1,1,1.0,0.0,0.0,0.0,0.0,0
BJ Hodge,101,74,4,3.0,33.666666666666664,136.48648648648648,6.0,4.0,40
BR Dunk,40,36,3,3.0,13.333333333333334,111.11111111111111,0.0,7.0,20
CA Lynn,58,52,2,2.0,29.0,111.53846153846155,3.0,5.0,45
CA Pujara,125,129,6,4.0,31.25,96.89922480620154,0.0,17.0,40
CH Gayle,196,188,9,9.0,21.77777777777778,104.25531914893618,12.0,18.0,46
CJ Anderson,265,186,11,9.0,29.444444444444443,142.4731182795699,15.0,21.0,95
CM Gautam,121,116,9,6.0,20.166666666666668,104.3103448275862,5.0,13.0,33
DA Miller,446,307,16,9.0,49.55555555555556,145.27687296416937,21.0,34.0,66
DA Warner,528,386,14,12.0,44.0,136.78756476683938,24.0,39.0,90
DH Yagnik,4,6,1,0.0,4.0,66.66666666666666,0.0,0.0,4
DJ Bravo,8,3,1,0.0,8.0,266.66666666666663,1.0,0.0,8
DJ Hussey,116,96,4,2.0,58.0,120.83333333333333,6.0,8.0,50
DJG Sammy,108,97,9,7.0,15.428571428571429,111.34020618556701,8.0,4.0,29
DR Smith,566,425,16,17.0,33.294117647058826,133.1764705882353,34.0,50.0,79
DS Kulkarni,35,27,2,1.0,35.0,129.62962962962962,2.0,1.0,28
DW Steyn,22,26,3,2.0,11.0,84.61538461538461,0.0,1.0,12
F du Plessis,303,240,12,10.0,30.3,126.25,7.0,26.0,54
G Gambhir,335,301,16,14.0,23.928571428571427,111.29568106312293,4.0,36.0,69
GJ Bailey,257,190,16,10.0,25.7,135.26315789473685,10.0,19.0,40
GJ Maxwell,552,312,16,17.0,32.470588235294116,176.9230769230769,36.0,48.0,95
HV Patel,13,7,3,2.0,6.5,185.71428571428572,1.0,1.0,6
Harbhajan Singh,28,26,7,6.0,4.666666666666667,107.6923076923077,2.0,2.0,10
IK Pathan,55,58,6,4.0,13.75,94.82758620689656,0.0,5.0,23
Imran Tahir,8,10,2,2.0,4.0,80.0,0.0,2.0,4
JA Morkel,45,41,5,3.0,15.0,109.75609756097562,3.0,1.0,16
