,MI,DD,SRH,CSK,RCB,KKR,RR,KXIP
1,0,0,0,0,0,2,0,0
2,0,0,0,0,2,2,0,0
3,0,0,0,0,2,2,2,0
4,0,0,0,0,2,2,2,2
5,0,0,0,0,4,2,2,2
6,0,2,0,0,4,2,2,2
7,0,2,0,0,4,2,2,4
8,0,2,0,2,4,2,2,4
9,0,2,0,2,4,2,2,6
10,0,2,0,4,4,2,2,6
11,0,2,0,4,4,4,2,6
12,0,2,2,4,4,4,2,6
13,0,2,2,6,4,4,2,6
14,0,2,2,6,4,4,2,8
15,0,2,2,6,4,4,4,8
16,0,2,2,8,4,4,4,8
17,0,4,2,8,4,4,4,8
18,0,4,2,8,4,4,4,10
19,0,4,2,8,4,4,4,10
20,0,4,4,8,4,4,4,10
21,0,4,4,10,4,4,4,10
22,0,4,4,10,4,4,6,10
23,2,4,4,10,4,4,6,10
24,2,4,4,10,6,4,6,10
25,2,4,4,12,6,4,6,10
26,2,4,4,12,6,4,8,10
27,4,4,4,12,6,4,8,10
28,4,4,4,12,6,6,8,10
29,4,4,4,12,6,6,8,12
30,4,4,6,12,6,6,8,12
31,4,4,6,12,6,6,8,14
32,4,4,8,12,6,6,8,14
33,4,4,8,14,6,6,8,14
34,4,4,8,14,6,6,10,14
35,4,4,8,14,6,8,10,14
36,6,4,8,14,6,8,10,14
37,6,4,8,14,8,8,10,14
38,6,4,8,16,8,8,10,14
39,6,4,8,16,8,8,10,16
40,6,4,8,16,8,10,10,16
41,6,4,8,16,8,10,12,16
42,6,4,8,16,10,10,12,16
43,6,4,8,16,10,12,12,16
44,8,4,8,16,10,12,12,16
45,8,4,8,16,10,12,12,18
46,8,4,10,16,10,12,12,18
47,8,4,10,16,10,14,12,18
48,10,4,10,16,10,14,12,18
49,10,4,10,16,10,16,12,18
50,10,4,12,16,10,16,12,18
51,12,4,12,16,10,16,12,18
52,12,4,12,16,10,16,12,20
53,12,4,12,16,10,18,12,20
54,12,4,12,18,10,18,12,20
55,14,4,12,18,10,18,12,20
56,14,4,12,18,10,18,12,22
57,14,4,12,18,10,20,12,22
58,14,4,12,20,10,20,12,22
59,14,4,12,20,10,20,12,24
60,14,4,12,20,10,22,12,24
