,KKR,CSK,KXIP,DD,MI,RCB,RR,SRH
1,2,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,0
3,2,2,0,0,0,0,2,0
4,2,2,0,0,0,2,2,0
5,2,4,0,0,0,2,2,0
6,2,4,0,0,0,2,4,0
7,2,4,2,0,0,2,4,0
8,2,4,2,0,0,2,4,2
9,2,4,2,0,0,2,6,2
10,2,4,2,2,0,2,6,2
11,2,4,2,2,0,2,8,2
12,2,6,2,2,0,2,8,2
13,4,6,2,2,0,2,8,2
14,4,6,2,4,0,2,8,2
15,4,6,2,4,0,2,10,2
16,4,6,2,4,2,2,10,2
17,6,6,2,4,2,2,10,2
18,6,6,2,4,2,2,10,2
19,6,8,2,4,2,2,10,2
20,6,8,2,4,2,2,10,4
21,6,8,2,6,2,2,10,4
22,6,8,2,6,2,4,10,4
23,6,10,2,6,2,4,10,4
24,6,10,2,6,4,4,10,4
25,6,10,2,6,4,6,10,4
26,6,10,2,6,4,6,10,6
27,6,12,2,6,4,6,10,6
28,6,12,2,6,4,6,10,6
29,8,12,2,6,4,6,10,6
30,8,12,2,6,6,6,10,6
31,8,12,2,8,6,6,10,6
32,8,12,2,8,6,6,10,8
33,8,12,2,8,6,8,10,8
34,8,12,2,8,8,8,10,8
35,8,12,2,8,8,8,12,8
36,8,14,2,8,8,8,12,8
37,10,14,2,8,8,8,12,8
38,10,14,2,8,10,8,12,8
39,10,14,2,8,10,10,12,8
40,10,14,2,8,10,10,12,10
41,12,14,2,8,10,10,12,10
42,12,14,2,8,12,10,12,10
43,14,14,2,8,12,10,12,10
44,14,14,2,8,12,10,12,12
45,14,16,2,8,12,10,12,12
46,14,16,2,8,12,12,12,12
47,14,16,2,8,12,12,12,14
48,14,16,2,10,12,12,12,14
49,14,16,4,10,12,12,12,14
50,14,16,4,10,14,12,12,14
51,14,16,4,10,14,14,12,14
52,14,16,4,10,14,14,14,14
53,14,18,4,10,14,14,14,14
54,14,18,4,10,14,14,14,14
55,14,18,4,10,16,14,14,14
56,14,18,4,10,18,14,14,14
57,14,18,4,10,18,16,14,14
58,14,20,4,10,18,16,14,14
59,14,20,4,10,20,16,14,14
