,MI,KKR,KXIP,RCB,GL,DD,SRH,RPS
1,0,0,0,0,0,0,0,2
2,0,2,0,0,0,0,0,2
3,0,2,0,0,2,0,0,2
4,0,2,0,2,2,0,0,2
5,2,2,0,2,2,0,0,2
6,2,2,0,2,4,0,0,2
7,2,2,0,2,4,2,0,2
8,2,4,0,2,4,2,0,2
9,2,4,0,2,6,2,0,2
10,2,4,2,2,6,2,0,2
11,2,4,2,2,6,4,0,2
12,2,4,2,2,6,4,2,2
13,2,6,2,2,6,4,2,2
14,4,6,2,2,6,4,2,2
15,4,6,2,2,6,4,4,2
16,4,6,2,4,6,4,4,2
17,4,6,2,4,6,4,6,2
18,4,6,2,4,6,6,6,2
19,4,8,2,4,6,6,6,2
20,4,8,2,4,8,6,6,2
21,6,8,2,4,8,6,6,2
22,6,8,2,4,8,6,6,4
23,6,8,2,4,10,6,6,4
24,8,8,2,4,10,6,6,4
25,8,8,2,4,12,6,6,4
26,8,8,2,4,12,6,8,4
27,8,8,2,4,12,8,8,4
28,8,8,4,4,12,8,8,4
29,10,8,4,4,12,8,8,4
30,10,10,4,4,12,8,8,4
31,10,10,4,4,12,10,8,4
32,10,12,4,4,12,10,8,4
33,10,12,4,4,12,10,8,6
34,10,12,4,4,12,10,10,6
35,10,12,4,6,12,10,10,6
36,10,12,6,6,12,10,10,6
37,10,12,6,6,14,10,10,6
38,10,12,6,6,14,10,12,6
39,10,12,6,8,14,10,12,6
40,10,12,6,8,14,10,14,6
41,12,12,6,8,14,10,14,6
42,12,12,6,8,14,12,14,6
43,12,12,8,8,14,12,14,6
44,12,12,8,10,14,12,14,6
45,12,14,8,10,14,12,14,6
46,12,14,8,10,14,12,16,6
47,14,14,8,10,14,12,16,6
48,14,14,8,12,14,12,16,6
49,14,14,8,12,14,12,16,8
50,14,14,8,14,14,12,16,8
51,14,14,8,14,16,12,16,8
52,14,14,8,14,16,14,16,8
53,14,14,8,14,18,14,16,8
54,14,14,8,14,18,14,16,10
55,14,14,8,16,18,14,16,10
56,14,16,8,16,18,14,16,10
57,14,16,8,18,18,14,16,10
58,14,16,8,18,18,14,18,10
59,14,16,8,18,18,14,20,10
60,14,16,8,18,18,14,22,10
