,SRH,RPS,GL,RCB,KXIP,MI,KKR,DD
1,2,0,0,0,0,0,0,0
2,2,2,0,0,0,0,0,0
3,2,2,0,0,0,0,2,0
4,2,2,0,2,0,0,2,0
5,2,2,0,2,2,0,2,0
6,2,2,0,2,2,2,2,0
7,4,2,0,2,2,2,2,0
8,4,2,0,2,4,2,2,0
9,4,2,0,2,4,2,2,2
10,4,2,0,2,4,4,2,2
11,4,2,0,2,4,4,4,2
12,4,2,0,2,4,6,4,2
13,4,2,2,2,4,6,4,2
14,4,2,2,2,4,6,6,2
15,4,2,2,2,4,6,6,4
16,4,2,2,2,4,8,6,4
17,4,4,2,2,4,8,6,4
18,4,4,2,2,4,8,8,4
19,6,4,2,2,4,8,8,4
20,6,4,2,4,4,8,8,4
21,8,4,2,4,4,8,8,4
22,8,4,2,4,4,10,8,4
23,8,4,4,4,4,10,8,4
24,8,4,4,4,4,12,8,4
25,8,6,4,4,4,12,8,4
26,8,6,4,4,6,12,8,4
27,8,6,4,4,6,12,10,4
28,8,8,4,4,6,12,10,4
29,8,8,4,4,6,12,12,4
30,8,8,6,4,6,12,12,4
31,8,8,6,4,6,12,14,4
32,10,8,6,4,6,12,14,4
33,10,10,6,4,6,12,14,4
34,10,10,6,4,6,12,14,4
35,10,10,6,4,8,12,14,4
36,12,10,6,4,8,12,14,4
37,12,10,6,4,8,14,14,4
38,12,12,6,4,8,14,14,4
39,12,12,6,4,8,14,14,6
40,12,14,6,4,8,14,14,6
41,12,14,6,4,8,14,14,8
42,12,14,6,4,10,14,14,8
43,12,16,6,4,10,14,14,8
44,12,16,6,4,10,16,14,8
45,12,16,6,4,10,16,16,8
46,12,16,8,4,10,16,16,8
47,14,16,8,4,10,16,16,8
48,14,16,8,4,12,16,16,8
49,14,16,8,4,12,16,16,10
50,14,16,8,4,14,16,16,10
51,14,16,8,4,14,16,16,12
52,14,16,8,4,14,18,16,12
53,16,16,8,4,14,18,16,12
54,16,16,8,6,14,18,16,12
55,16,18,8,6,14,18,16,12
56,16,20,8,6,14,18,16,12
57,16,20,8,6,14,18,18,12
58,16,20,8,6,14,20,18,12
59,16,20,8,6,14,22,18,12
