,MI,DD,RCB,RR,KKR,KXIP,CSK,SRH
1,0,0,0,0,0,0,2,0
2,0,0,0,0,0,2,2,0
3,0,0,0,0,2,2,2,0
4,0,0,0,0,2,2,2,2
5,0,0,0,0,2,2,4,2
6,0,0,0,2,2,2,4,2
7,0,0,0,2,2,2,4,4
8,0,0,2,2,2,2,4,4
9,0,0,2,2,2,2,4,6
10,0,2,2,2,2,2,4,6
11,0,2,2,4,2,2,4,6
12,0,2,2,4,2,4,4,6
13,0,2,2,4,4,4,4,6
14,2,2,2,4,4,4,4,6
15,2,2,2,4,6,4,4,6
16,2,2,2,4,6,6,4,6
17,2,2,2,4,6,6,6,6
18,2,2,2,4,6,8,6,6
19,2,2,4,4,6,8,6,6
20,2,2,4,6,6,8,6,6
21,2,2,4,6,6,8,8,6
22,2,2,4,6,6,10,8,6
23,2,2,4,6,6,10,8,8
24,2,2,4,6,6,10,10,8
25,2,2,4,6,6,10,10,10
26,2,4,4,6,6,10,10,10
27,4,4,4,6,6,10,10,10
28,4,4,4,6,8,10,10,10
29,4,4,4,6,8,10,10,12
30,4,4,4,6,8,10,12,12
31,4,4,6,6,8,10,12,12
32,4,6,6,6,8,10,12,12
33,4,6,6,6,10,10,12,12
34,6,6,6,6,10,10,12,12
35,6,6,6,6,10,10,14,12
36,6,6,6,6,10,10,14,14
37,6,6,6,6,10,12,14,14
38,8,6,6,6,10,12,14,14
39,8,6,6,6,10,12,14,16
40,8,6,6,8,10,12,14,16
41,10,6,6,8,10,12,14,16
42,10,6,6,8,10,12,14,18
43,10,6,6,10,10,12,14,18
44,10,6,6,10,12,12,14,18
45,10,6,8,10,12,12,14,18
46,10,6,8,10,12,12,16,18
47,10,6,8,12,12,12,16,18
48,10,6,10,12,12,12,16,18
49,10,6,10,12,14,12,16,18
50,12,6,10,12,14,12,16,18
51,12,6,12,12,14,12,16,18
52,12,8,12,12,14,12,16,18
53,12,8,12,14,14,12,16,18
54,12,8,12,14,16,12,16,18
55,12,10,12,14,16,12,16,18
56,12,10,12,14,16,12,18,18
57,12,10,12,14,16,12,20,18
58,12,10,12,14,18,12,20,18
59,12,10,12,14,18,12,20,20
60,12,10,12,14,18,12,22,20
