,RCB,DC,SRH,KXIP,KKR,MI,RR,CSK
1,0,0,0,0,0,0,0,2
2,0,2,0,0,0,0,0,2
3,0,2,0,0,2,0,0,2
4,0,2,0,2,2,0,0,2
5,0,2,0,2,2,0,0,4
6,0,2,0,2,4,0,0,4
7,0,2,0,2,4,2,0,4
8,0,2,2,2,4,2,0,4
9,0,2,2,4,4,2,0,4
10,0,2,2,4,4,2,0,4
11,0,2,4,4,4,2,0,4
12,0,2,4,4,4,2,0,6
13,0,2,4,6,4,2,0,6
14,0,2,4,6,4,2,2,6
15,0,2,4,6,4,4,2,6
16,0,2,6,6,4,4,2,6
17,0,2,6,6,6,4,2,6
18,0,2,6,6,6,6,2,6
19,0,2,6,6,6,6,2,8
20,0,4,6,6,6,6,2,8
21,0,4,6,6,8,6,2,8
22,0,4,6,8,8,6,2,8
23,0,4,6,8,8,6,2,10
24,0,4,6,8,8,8,2,10
25,0,4,6,8,8,8,2,12
26,0,6,6,8,8,8,2,12
27,2,6,6,8,8,8,2,12
28,2,6,6,8,8,8,4,12
29,2,8,6,8,8,8,4,12
30,2,8,6,8,8,8,4,14
31,2,8,6,8,8,10,4,14
32,2,8,6,10,8,10,4,14
33,2,8,8,10,8,10,4,14
34,2,8,8,10,8,12,4,14
35,4,8,8,10,8,12,4,14
36,4,10,8,10,8,12,4,14
37,4,10,8,10,8,12,6,14
38,6,10,8,10,8,12,6,14
39,6,10,10,10,8,12,6,14
40,6,12,10,10,8,12,6,14
41,6,12,10,10,8,12,6,16
42,8,12,10,10,8,12,6,16
43,8,12,10,10,8,12,8,16
44,8,12,10,10,8,14,8,16
45,8,12,10,10,8,14,10,16
46,8,12,10,10,10,14,10,16
47,8,14,10,10,10,14,10,16
48,8,14,12,10,10,14,10,16
49,8,14,12,10,10,14,10,16
50,8,14,12,10,10,14,10,18
51,8,14,12,10,10,14,10,18
52,8,14,12,10,12,14,10,18
53,10,14,12,10,12,14,10,18
54,10,16,12,10,12,14,10,18
55,10,16,12,10,12,16,10,18
56,10,16,12,12,12,16,10,18
57,10,16,12,12,12,18,10,18
58,10,18,12,12,12,18,10,18
59,10,18,12,12,12,18,10,20
60,10,18,12,12,12,20,10,20
