,MI,DC,RCB,RR,KXIP,SRH,KKR,CSK
1,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,2
3,0,0,2,0,0,0,0,2
4,0,0,2,2,0,0,0,2
5,2,0,2,2,0,0,0,2
6,2,0,2,2,2,0,0,2
7,2,2,2,2,2,0,0,2
8,2,2,2,2,2,0,2,2
9,2,2,2,4,2,0,2,2
10,2,2,2,4,2,0,2,2
11,2,2,2,4,2,2,2,2
12,2,2,2,4,2,2,4,2
13,4,2,2,4,2,2,4,2
14,4,2,2,4,2,4,4,2
15,4,2,4,4,2,4,4,2
16,4,4,4,4,2,4,4,2
17,6,4,4,4,2,4,4,2
18,6,4,4,4,2,4,4,4
19,6,6,4,4,2,4,4,4
20,8,6,4,4,2,4,4,4
21,8,6,4,4,2,4,6,4
22,8,6,4,4,2,6,6,4
23,8,8,4,4,2,6,6,4
24,8,8,4,4,2,6,8,4
25,8,8,6,4,2,6,8,4
26,8,8,6,6,2,6,8,4
27,10,8,6,6,2,6,8,4
28,10,8,8,6,2,6,8,4
29,10,8,8,6,2,6,8,6
30,10,10,8,6,2,6,8,6
31,10,10,8,6,4,6,8,6
32,12,10,8,6,4,6,8,6
33,12,10,10,6,4,6,8,6
34,12,12,10,6,4,6,8,6
35,12,12,10,6,4,6,8,6
36,12,12,10,6,4,6,8,6
37,12,12,10,8,4,6,8,6
38,12,12,10,8,6,6,8,6
39,12,12,12,8,6,6,8,6
40,12,12,12,8,6,8,8,6
41,14,12,12,8,6,8,8,6
42,14,12,12,8,6,8,10,6
43,14,12,12,8,8,8,10,6
44,14,12,12,10,8,8,10,6
45,14,12,12,10,8,8,10,8
46,14,12,12,10,10,8,10,8
47,14,12,12,10,10,10,10,8
48,16,12,12,10,10,10,10,8
49,16,12,12,10,10,10,10,10
50,16,12,12,12,10,10,10,10
51,16,12,12,12,10,12,10,10
52,18,12,12,12,10,12,10,10
53,18,12,12,12,10,12,12,10
54,18,12,12,12,10,12,12,12
55,18,14,12,12,10,12,12,12
56,18,14,12,12,10,14,12,12
57,20,14,12,12,10,14,12,12
58,20,14,12,12,10,16,12,12
59,20,16,12,12,10,16,12,12
60,22,16,12,12,10,16,12,12
