,MI,CSK,KKR,PBKS,RCB,DC,RR,SRH
1,0,0,0,0,2,0,0,0
2,0,0,0,0,2,2,0,0
3,0,0,2,0,2,2,0,0
4,0,0,2,2,2,2,0,0
5,2,0,2,2,2,2,0,0
6,2,0,2,2,4,2,0,0
7,2,0,2,2,4,2,2,0
8,2,2,2,2,4,2,2,0
9,4,2,2,2,4,2,2,0
10,4,2,2,2,6,2,2,0
11,4,2,2,2,6,4,2,0
12,4,4,2,2,6,4,2,0
13,4,4,2,2,6,6,2,0
14,4,4,2,2,6,6,2,2
15,4,6,2,2,6,6,2,2
16,4,6,2,2,8,6,2,2
17,4,6,2,4,8,6,2,2
18,4,6,2,4,8,6,4,2
19,4,6,2,4,8,6,4,2
20,4,8,2,4,8,6,4,2
21,4,8,4,4,8,6,4,2
22,4,8,4,4,10,6,4,2
23,4,10,4,4,10,6,4,2
24,4,10,4,4,10,8,4,2
25,6,10,4,4,10,8,4,2
26,6,10,4,6,10,8,4,2
27,8,10,4,6,10,8,4,2
28,8,10,4,6,10,8,6,2
29,8,10,4,6,10,10,6,2
30,8,12,4,6,10,10,6,2
31,8,12,6,6,10,10,6,2
32,8,12,6,6,10,10,8,2
33,8,12,6,6,10,12,8,2
34,8,12,8,6,10,12,8,2
35,8,14,8,6,10,12,8,2
36,8,14,8,8,10,12,8,2
37,8,14,8,8,10,14,8,2
38,8,14,8,8,12,14,8,2
39,8,16,8,8,12,14,8,2
40,8,16,8,8,12,14,8,4
41,10,16,8,8,12,14,8,4
42,10,16,10,8,12,14,8,4
43,10,16,10,8,14,14,8,4
44,10,18,10,8,14,14,8,4
45,10,18,10,10,14,14,8,4
46,10,18,10,10,14,16,8,4
47,10,18,10,10,14,16,10,4
48,10,18,12,10,14,16,10,4
49,10,18,12,10,16,16,10,4
50,10,18,12,10,16,18,10,4
51,12,18,12,10,16,18,10,4
52,12,18,12,10,16,18,10,6
53,12,18,12,12,16,18,10,6
54,12,18,14,12,16,18,10,6
55,14,18,14,12,16,18,10,6
56,14,18,14,12,18,18,10,6
57,14,20,14,12,18,18,10,6
58,14,20,16,12,18,18,10,6
59,14,20,18,12,18,18,10,6
60,14,22,18,12,18,18,10,6
