,runs,wickets,batting_sr,bowling_economy
SN Thakur,120.0,16.0,133.33333333333331,9.238095238095237
RA Jadeja,116.0,6.0,110.47619047619048,7.448275862068965
AD Russell,335.0,21.0,167.5,9.613636363636363
HH Pandya,487.0,8.0,125.83979328165375,7.174603174603175
R Ashwin,191.0,13.0,136.42857142857144,7.2458233890214805
GJ Maxwell,301.0,8.0,163.58695652173913,6.821917808219179
LS Livingstone,437.0,6.0,167.43295019157088,8.416666666666666
AR Patel,182.0,6.0,149.18032786885246,7.425287356321839
KH Pandya,183.0,11.0,122.0,6.956896551724139
MM Ali,244.0,8.0,133.33333333333331,6.534246575342466
Washington Sundar,101.0,6.0,132.89473684210526,8.435294117647059
