,CSK,RCB,MI,LSG,RR,KKR,PBKS,GT,DC,SRH
1,0,0,0,0,0,2,0,0,0,0
2,0,0,0,0,0,2,2,0,0,0
3,0,0,0,0,0,2,2,0,2,0
4,0,0,0,0,0,2,2,2,2,0
5,0,0,0,0,2,2,2,2,2,0
6,0,2,0,0,2,2,2,2,2,0
7,0,2,0,2,2,2,2,2,2,0
8,0,2,0,2,2,4,2,2,2,0
9,0,2,0,2,4,4,2,2,2,0
10,0,2,0,2,4,4,2,4,2,0
11,0,2,0,2,4,4,4,4,2,0
12,0,2,0,4,4,4,4,4,2,0
13,0,4,0,4,4,4,4,4,2,0
14,0,4,0,4,4,6,4,4,2,0
15,0,4,0,6,4,6,4,4,2,0
16,0,4,0,6,4,6,4,6,2,0
17,0,6,0,6,4,6,4,6,2,0
18,0,6,0,6,4,6,4,6,2,2
19,0,6,0,6,4,6,4,6,4,2
20,0,6,0,6,6,6,4,6,4,2
21,0,6,0,6,6,6,4,6,4,4
22,2,6,0,6,6,6,4,6,4,4
23,2,6,0,6,6,6,6,6,4,4
24,2,6,0,6,6,6,6,8,4,4
25,2,6,0,6,6,6,6,8,4,6
26,2,8,0,6,6,6,6,8,4,6
27,2,8,0,8,6,6,6,8,4,6
28,2,8,0,8,6,6,6,10,4,6
29,2,8,0,8,6,6,6,10,4,8
30,2,8,0,8,8,6,6,10,4,8
31,2,10,0,8,8,6,6,10,4,8
32,2,10,0,8,8,6,6,10,6,8
33,4,10,0,8,8,6,6,10,6,8
34,4,10,0,8,10,6,6,10,6,8
35,4,10,0,8,10,6,6,12,6,8
36,4,10,0,8,10,6,6,12,6,10
37,4,10,0,10,10,6,6,12,6,10
38,4,10,0,10,10,6,8,12,6,10
39,4,10,0,10,12,6,8,12,6,10
40,4,10,0,10,12,6,8,14,6,10
41,4,10,0,10,12,6,8,14,8,10
42,4,10,0,12,12,6,8,14,8,10
43,4,10,2,12,12,6,8,14,8,10
44,4,10,2,12,12,6,8,16,8,10
45,4,10,2,14,12,6,8,16,8,10
46,6,10,2,14,12,6,8,16,8,10
47,6,10,2,14,12,8,8,16,8,10
48,6,10,2,14,12,8,10,16,8,10
49,6,12,2,14,12,8,10,16,8,10
50,6,12,2,14,12,8,10,16,10,10
51,6,12,4,14,12,8,10,16,10,10
52,6,12,4,14,14,8,10,16,10,10
53,6,12,4,16,14,8,10,16,10,10
54,6,14,4,16,14,8,10,16,10,10
55,8,14,4,16,14,8,10,16,10,10
56,8,14,4,16,14,10,10,16,10,10
57,8,14,4,16,14,10,10,18,10,10
58,8,14,4,16,14,10,10,18,12,10
59,8,14,6,16,14,10,10,18,12,10
60,8,14,6,16,14,10,12,18,12,10
61,8,14,6,16,14,12,12,18,12,10
62,8,14,6,16,14,12,12,20,12,10
63,8,14,6,16,16,12,12,20,12,10
64,8,14,6,16,16,12,12,20,14,10
65,8,14,6,16,16,12,12,20,14,12
66,8,14,6,18,16,12,12,20,14,12
67,8,16,6,18,16,12,12,20,14,12
68,8,16,6,18,18,12,12,20,14,12
69,8,16,8,18,18,12,12,20,14,12
70,8,16,8,18,18,12,14,20,14,12
71,8,16,8,18,18,12,14,22,14,12
72,8,18,8,18,18,12,14,22,14,12
73,8,18,8,18,20,12,14,22,14,12
74,8,18,8,18,20,12,14,24,14,12
