,RCB,KKR,DC,GT,RR,PBKS,CSK,SRH,LSG,MI
1,0,0,0,0,0,0,2,0,0,0
2,0,2,0,0,0,0,2,0,0,0
3,0,2,0,0,0,2,2,0,0,0
4,0,2,0,2,0,2,2,0,0,0
5,0,2,0,2,2,2,2,0,0,0
6,2,2,0,2,2,2,2,0,0,0
7,2,2,0,2,2,2,4,0,0,0
8,2,2,0,2,2,2,4,2,0,0
9,2,2,0,2,4,2,4,2,0,0
10,2,4,0,2,4,2,4,2,0,0
11,2,4,0,2,4,2,4,2,2,0
12,2,4,2,2,4,2,4,2,2,0
13,2,4,2,4,4,2,4,2,2,0
14,2,4,2,4,6,2,4,2,2,0
15,2,4,2,4,6,2,4,2,4,0
16,2,6,2,4,6,2,4,2,4,0
17,2,6,2,4,6,4,4,2,4,0
18,2,6,2,4,6,4,4,4,4,0
19,2,6,2,4,8,4,4,4,4,0
20,2,6,2,4,8,4,4,4,6,0
21,2,6,2,4,8,4,4,4,6,2
22,2,6,2,4,8,4,6,4,6,2
23,2,6,2,4,8,4,6,6,6,2
24,2,6,2,6,8,4,6,6,6,2
25,2,6,2,6,8,4,6,6,6,4
26,2,6,4,6,8,4,6,6,6,4
27,2,6,4,6,10,4,6,6,6,4
28,2,6,4,6,10,4,8,6,6,4
29,2,8,4,6,10,4,8,6,6,4
30,2,8,4,6,10,4,8,8,6,4
31,2,8,4,6,12,4,8,8,6,4
32,2,8,6,6,12,4,8,8,6,4
33,2,8,6,6,12,4,8,8,6,6
34,2,8,6,6,12,4,8,8,8,6
35,2,8,6,6,12,4,8,10,8,6
36,2,8,6,8,12,4,8,10,8,6
37,2,10,6,8,12,4,8,10,8,6
38,2,10,6,8,14,4,8,10,8,6
39,2,10,6,8,14,4,8,10,10,6
40,2,10,8,8,14,4,8,10,10,6
41,4,10,8,8,14,4,8,10,10,6
42,4,10,8,8,14,6,8,10,10,6
43,4,10,8,8,16,6,8,10,10,6
44,4,10,10,8,16,6,8,10,10,6
45,6,10,10,8,16,6,8,10,10,6
46,6,10,10,8,16,6,10,10,10,6
47,6,12,10,8,16,6,10,10,10,6
48,6,12,10,8,16,6,10,10,12,6
49,6,12,10,8,16,8,10,10,12,6
50,6,12,10,8,16,8,10,12,12,6
51,6,14,10,8,16,8,10,12,12,6
52,8,14,10,8,16,8,10,12,12,6
53,8,16,10,8,16,8,10,12,12,6
54,8,16,10,8,16,8,12,12,12,6
55,8,16,10,8,16,8,12,12,12,8
56,8,16,12,8,16,8,12,12,12,8
57,8,16,12,8,16,8,12,14,12,8
58,10,16,12,8,16,8,12,14,12,8
59,10,16,12,10,16,8,12,14,12,8
60,10,18,12,10,16,8,12,14,12,8
61,10,18,12,10,16,8,14,14,12,8
62,12,18,12,10,16,8,14,14,12,8
63,12,18,14,10,16,8,14,14,12,8
64,12,18,14,10,16,10,14,14,12,8
65,12,18,14,10,16,10,14,14,14,8
66,14,18,14,10,16,10,14,14,14,8
67,14,18,14,10,16,10,14,16,14,8
68,14,20,14,10,16,10,14,16,14,8
69,14,20,14,10,18,10,14,16,14,8
70,14,20,14,10,18,10,14,18,14,8
71,14,22,14,10,18,10,14,18,14,8
