Team,Phase,Batting_Runs,Batting_Balls,Batting_Run_Rate,Batting_Boundaries,Batting_Boundary_Pct,Bowling_Runs,Bowling_Balls,Bowling_Economy,Bowling_Wickets,Bowling_Wicket_Rate
RCB,Powerplay,11795,9502,7.447905704062302,1762,18.543464533782362,12114,9531,7.626062322946176,362,0.22788794460182563
RCB,Middle Overs,17497,13738,7.641723686126074,1819,13.240646382297278,17708,13800,7.699130434782608,585,0.2543478260869565
RCB,Death Overs,11330,6783,10.022114108801416,1450,21.376971841368125,10979,6828,9.64762741652021,547,0.4806678383128295
DD,Powerplay,7360,6027,7.3270283723245395,1094,18.151650904264145,7486,5974,7.518580515567459,222,0.2229661868095079
DD,Middle Overs,10664,8702,7.352792461503103,1088,12.50287290278097,10709,8559,7.507185418857343,344,0.2411496670171749
DD,Death Overs,6272,4057,9.27581957111166,775,19.102785309341876,6535,4192,9.353530534351146,346,0.4952290076335878
KXIP,Powerplay,8954,7133,7.531753820271976,1353,18.968176082994532,9137,7150,7.667412587412587,263,0.2206993006993007
KXIP,Middle Overs,13235,10347,7.674688315453754,1417,13.69479076060694,13189,10322,7.6665374927339665,404,0.23483820964929278
KXIP,Death Overs,7875,5166,9.146341463414634,936,18.118466898954704,8135,5011,9.740570744362403,409,0.4897226102574337
MI,Powerplay,12225,9844,7.451239333604225,1809,18.376676147907357,11830,9786,7.253218884120171,393,0.2409564684242796
MI,Middle Overs,18062,14318,7.568934208688364,1983,13.849699678726079,18500,14545,7.631488484015126,614,0.2532829150910966
MI,Death Overs,11889,7275,9.805360824742268,1530,21.030927835051546,10966,7174,9.17145246724282,584,0.4884304432673543
KKR,Powerplay,11941,9435,7.5936406995230525,1805,19.130895601483836,11970,9432,7.614503816793893,337,0.2143765903307888
KKR,Middle Overs,17267,13622,7.605491117310233,1885,13.837909264425194,16848,13585,7.441148325358852,602,0.2658814869341185
KKR,Death Overs,10123,6457,9.406535542821743,1266,19.60662846523153,10268,6646,9.269936804092687,525,0.47396930484501953
RR,Powerplay,10226,8193,7.488831929696082,1591,19.419016233369952,10261,8294,7.422956353990837,343,0.24813117916566194
RR,Middle Overs,15388,12123,7.6159366493442215,1640,13.52800461931865,15258,12103,7.564075022721639,474,0.23498306205073122
