match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,match_number
2008_01,2008,2008-04-18,RCB,KKR,M Chinnaswamy Stadium,Bangalore,RCB,field,KKR,140,0,BB McCullum,1
2008_02,2008,2008-04-19,DC,RR,Arun Jaitley Stadium,Delhi,RR,bat,DC,0,9,MF Maharoof,2
2008_03,2008,2008-04-19,PBKS,CSK,PCA Stadium,Chandigarh,CSK,bat,CSK,33,0,MEK Hussey,3
2008_04,2008,2008-04-20,MI,RCB,Wankhede Stadium,Mumbai,MI,bat,RCB,0,5,MV Boucher,4
2008_05,2008,2008-04-20,KKR,DCH,Eden Gardens,Kolkata,DCH,bat,KKR,0,5,DJ Hussey,5
2008_06,2008,2008-04-21,RR,PBKS,Sawai Mansingh Stadium,Jaipur,PBKS,bat,RR,0,6,SR Watson,6
2008_07,2008,2008-04-22,DCH,DC,Rajiv Gandhi Stadium,Hyderabad,DCH,bat,DC,0,9,V Sehwag,7
2008_08,2008,2008-04-23,CSK,MI,MA Chidambaram Stadium,Chennai,MI,field,CSK,6,0,ML Hayden,8
2008_09,2008,2008-04-24,DCH,RR,Rajiv Gandhi Stadium,Hyderabad,RR,field,RR,0,3,YK Pathan,9
2008_10,2008,2008-04-25,PBKS,MI,PCA Stadium,Chandigarh,MI,field,PBKS,66,0,KC Sangakkara,10
2008_11,2008,2008-04-26,CSK,KKR,MA Chidambaram Stadium,Chennai,KKR,bat,CSK,0,9,JDP Oram,11
2008_12,2008,2008-04-26,RCB,RR,M Chinnaswamy Stadium,Bangalore,RR,field,RR,0,7,SR Watson,12
2008_14,2008,2008-04-27,PBKS,DC,PCA Stadium,Chandigarh,DC,bat,PBKS,0,4,SM Katich,14
2008_13,2008,2008-04-27,MI,DCH,Dr DY Patil Sports Academy,Mumbai,DCH,field,DCH,0,10,AC Gilchrist,13
2008_15,2008,2008-04-28,RCB,CSK,M Chinnaswamy Stadium,Bangalore,CSK,bat,CSK,13,0,MS Dhoni,15
2008_16,2008,2008-04-29,KKR,MI,Eden Gardens,Kolkata,KKR,bat,MI,0,7,ST Jayasuriya,16
2008_17,2008,2008-04-30,DC,RCB,Arun Jaitley Stadium,Delhi,RCB,field,DC,10,0,GD McGrath,17
2008_18,2008,2008-05-01,DCH,PBKS,Rajiv Gandhi Stadium,Hyderabad,PBKS,field,PBKS,0,7,SE Marsh,18
2008_19,2008,2008-05-01,RR,KKR,Sawai Mansingh Stadium,Jaipur,RR,bat,RR,45,0,SA Asnodkar,19
2008_20,2008,2008-05-02,CSK,DC,MA Chidambaram Stadium,Chennai,CSK,bat,DC,0,8,V Sehwag,20
2008_21,2008,2008-05-03,RCB,DCH,M Chinnaswamy Stadium,Bangalore,DCH,field,RCB,3,0,P Kumar,21
2008_22,2008,2008-05-03,PBKS,KKR,PCA Stadium,Chandigarh,PBKS,bat,PBKS,9,0,IK Pathan,22
2008_23,2008,2008-05-04,MI,DC,Dr DY Patil Sports Academy,Mumbai,DC,field,MI,29,0,SM Pollock,23
2008_24,2008,2008-05-04,RR,CSK,Sawai Mansingh Stadium,Jaipur,CSK,bat,RR,0,8,Sohail Tanvir,24
2008_25,2008,2008-05-05,RCB,PBKS,M Chinnaswamy Stadium,Bangalore,PBKS,field,PBKS,0,6,S Sreesanth,25
2008_26,2008,2008-05-06,CSK,DCH,MA Chidambaram Stadium,Chennai,DCH,field,DCH,0,7,AC Gilchrist,26
2008_27,2008,2008-05-07,MI,RR,Dr DY Patil Sports Academy,Mumbai,MI,field,MI,0,7,A Nehra,27
